Date,Sector,Index_Ticker,HHI
2020-12-31,Consumer Discretionary,S5COND Index,0.17306290357333617
2021-01-29,Consumer Discretionary,S5COND Index,0.1701110436001717
2021-02-26,Consumer Discretionary,S5COND Index,0.15842911303293697
2021-03-31,Consumer Discretionary,S5COND Index,0.1531534530927698
2021-04-30,Consumer Discretionary,S5COND Index,0.16368709802975523
2021-05-31,Consumer Discretionary,S5COND Index,0.15565357295172705
2021-06-30,Consumer Discretionary,S5COND Index,0.1621249723539703
2021-07-30,Consumer Discretionary,S5COND Index,0.15524262316585205
2021-08-31,Consumer Discretionary,S5COND Index,0.160050293628297
2021-09-30,Consumer Discretionary,S5COND Index,0.15550364232920225
2021-10-29,Consumer Discretionary,S5COND Index,0.15541311352164805
2021-11-30,Consumer Discretionary,S5COND Index,0.1609787075765418
2021-12-31,Consumer Discretionary,S5COND Index,0.14942072617169844
2022-01-31,Consumer Discretionary,S5COND Index,0.14757508268745925
2022-02-28,Consumer Discretionary,S5COND Index,0.15796161966788458
2022-03-31,Consumer Discretionary,S5COND Index,0.17030162456325562
2022-04-29,Consumer Discretionary,S5COND Index,0.14651068388541374
2022-05-31,Consumer Discretionary,S5COND Index,0.14477527858484637
2022-06-30,Consumer Discretionary,S5COND Index,0.1455076398710175
2022-07-29,Consumer Discretionary,S5COND Index,0.16223097916252988
2022-08-31,Consumer Discretionary,S5COND Index,0.15785090617362293
2022-09-30,Consumer Discretionary,S5COND Index,0.1563945558075122
2022-10-31,Consumer Discretionary,S5COND Index,0.13255716821428076
2022-11-30,Consumer Discretionary,S5COND Index,0.11638342694228793
2022-12-30,Consumer Discretionary,S5COND Index,0.10635812797441369
2023-01-31,Consumer Discretionary,S5COND Index,0.11690946620359001
2023-02-28,Consumer Discretionary,S5COND Index,0.11516509102339895
2023-03-31,Consumer Discretionary,S5COND Index,0.12099891920743379
2023-04-28,Consumer Discretionary,S5COND Index,0.11787329302080984
2023-05-31,Consumer Discretionary,S5COND Index,0.140119527174131
2023-06-30,Consumer Discretionary,S5COND Index,0.13998534029546797
2023-07-31,Consumer Discretionary,S5COND Index,0.1395971675280535
2023-08-31,Consumer Discretionary,S5COND Index,0.147728313569171
2023-09-29,Consumer Discretionary,S5COND Index,0.14487088738409065
2023-10-31,Consumer Discretionary,S5COND Index,0.1539938588836606
2023-11-30,Consumer Discretionary,S5COND Index,0.15535091162574638
2023-12-29,Consumer Discretionary,S5COND Index,0.15047435824865454
2024-01-31,Consumer Discretionary,S5COND Index,0.1547252597121491
2024-02-29,Consumer Discretionary,S5COND Index,0.16570491136499077
2024-03-29,Consumer Discretionary,S5COND Index,0.167484710059709
2024-04-30,Consumer Discretionary,S5COND Index,0.17240045284595457
2024-05-31,Consumer Discretionary,S5COND Index,0.17432091606827996
2024-06-28,Consumer Discretionary,S5COND Index,0.1878301668431915
2024-07-31,Consumer Discretionary,S5COND Index,0.17890265893420457
2024-08-30,Consumer Discretionary,S5COND Index,0.16903030349905052
2024-09-30,Consumer Discretionary,S5COND Index,0.16657496131600155
2024-10-31,Consumer Discretionary,S5COND Index,0.1680723748833547
2024-11-29,Consumer Discretionary,S5COND Index,0.17336140037875072
2024-12-31,Consumer Discretionary,S5COND Index,0.18937775163678025
2025-01-31,Consumer Discretionary,S5COND Index,0.19518703535458867
2025-02-28,Consumer Discretionary,S5COND Index,0.18128542491991723
2025-03-31,Consumer Discretionary,S5COND Index,0.17714055925845026
2025-04-30,Consumer Discretionary,S5COND Index,0.17403892859551612
2025-05-30,Consumer Discretionary,S5COND Index,0.18270376723928408
2025-06-30,Consumer Discretionary,S5COND Index,0.18858602601234997
2025-07-31,Consumer Discretionary,S5COND Index,0.19644020985932378
2025-08-29,Consumer Discretionary,S5COND Index,0.18460880473867614
2025-09-30,Consumer Discretionary,S5COND Index,0.18257256612429168
2025-10-31,Consumer Discretionary,S5COND Index,0.2046227186728074
2025-11-28,Consumer Discretionary,S5COND Index,0.19527836597929885
2025-12-31,Consumer Discretionary,S5COND Index,0.19291508907516888
2026-01-30,Consumer Discretionary,S5COND Index,0.1955445359491489
2026-02-27,Consumer Discretionary,S5COND Index,0.17838058218060965
2005-01-31,Consumer Discretionary,S5COND Index,0.07488789188530492
2005-02-28,Consumer Discretionary,S5COND Index,0.07381513378935745
2005-03-31,Consumer Discretionary,S5COND Index,0.07223732561629012
2005-04-29,Consumer Discretionary,S5COND Index,0.07124685149702999
2005-05-31,Consumer Discretionary,S5COND Index,0.07314164274756556
2005-06-30,Consumer Discretionary,S5COND Index,0.07022503947826875
2005-07-29,Consumer Discretionary,S5COND Index,0.07041957612616408
2005-08-31,Consumer Discretionary,S5COND Index,0.07124300806756272
2005-09-30,Consumer Discretionary,S5COND Index,0.07065526949139465
2005-10-31,Consumer Discretionary,S5COND Index,0.073393704082373
2005-11-30,Consumer Discretionary,S5COND Index,0.07177410138111029
2005-12-30,Consumer Discretionary,S5COND Index,0.07097966202835021
2006-01-31,Consumer Discretionary,S5COND Index,0.0685059513844143
2006-02-28,Consumer Discretionary,S5COND Index,0.06974177844973536
2006-03-31,Consumer Discretionary,S5COND Index,0.06826258461740511
2006-04-28,Consumer Discretionary,S5COND Index,0.06675797251337823
2006-05-31,Consumer Discretionary,S5COND Index,0.06747878861712642
2006-06-30,Consumer Discretionary,S5COND Index,0.06475897128773768
2006-07-31,Consumer Discretionary,S5COND Index,0.06698066008561356
2006-08-31,Consumer Discretionary,S5COND Index,0.06475982465522845
2006-09-29,Consumer Discretionary,S5COND Index,0.06466316058075212
2006-10-31,Consumer Discretionary,S5COND Index,0.06407474649414417
2006-11-30,Consumer Discretionary,S5COND Index,0.0627291418407025
2006-12-29,Consumer Discretionary,S5COND Index,0.06414573122170647
2007-01-31,Consumer Discretionary,S5COND Index,0.06305223510019925
2007-02-28,Consumer Discretionary,S5COND Index,0.06317037421164708
2007-03-30,Consumer Discretionary,S5COND Index,0.0611514383588753
2007-04-30,Consumer Discretionary,S5COND Index,0.06094327898927139
2007-05-31,Consumer Discretionary,S5COND Index,0.06075052720283272
2007-06-29,Consumer Discretionary,S5COND Index,0.061607954565872224
2007-07-31,Consumer Discretionary,S5COND Index,0.06110688969686517
2007-08-31,Consumer Discretionary,S5COND Index,0.061263503727838335
2007-09-28,Consumer Discretionary,S5COND Index,0.059044404938559454
2007-10-31,Consumer Discretionary,S5COND Index,0.05886693518195235
2007-11-30,Consumer Discretionary,S5COND Index,0.059254177521818684
2007-12-31,Consumer Discretionary,S5COND Index,0.06030586835563965
2008-01-31,Consumer Discretionary,S5COND Index,0.05877836343226997
2008-02-29,Consumer Discretionary,S5COND Index,0.05938702096241758
2008-03-31,Consumer Discretionary,S5COND Index,0.060566628483495706
2008-04-30,Consumer Discretionary,S5COND Index,0.06092878152026813
2008-05-30,Consumer Discretionary,S5COND Index,0.06069774638431755
2008-06-30,Consumer Discretionary,S5COND Index,0.06396666098813525
2008-07-31,Consumer Discretionary,S5COND Index,0.06520587426903846
2008-08-29,Consumer Discretionary,S5COND Index,0.06521540875511828
2008-09-30,Consumer Discretionary,S5COND Index,0.06869545490111749
2008-10-31,Consumer Discretionary,S5COND Index,0.07915254448912884
2008-11-28,Consumer Discretionary,S5COND Index,0.08759742446039649
2008-12-31,Consumer Discretionary,S5COND Index,0.08449332919070252
2009-01-30,Consumer Discretionary,S5COND Index,0.08774307820242246
2009-02-27,Consumer Discretionary,S5COND Index,0.08481451163003605
2009-03-31,Consumer Discretionary,S5COND Index,0.08057468557715783
2009-04-30,Consumer Discretionary,S5COND Index,0.06883258887990797
2009-05-29,Consumer Discretionary,S5COND Index,0.06835871478242972
2009-06-30,Consumer Discretionary,S5COND Index,0.06878342660401184
2009-07-31,Consumer Discretionary,S5COND Index,0.06448778747303606
2009-08-31,Consumer Discretionary,S5COND Index,0.062306280382529375
2009-09-30,Consumer Discretionary,S5COND Index,0.06096060422091289
2009-10-30,Consumer Discretionary,S5COND Index,0.06548371225081422
2009-11-30,Consumer Discretionary,S5COND Index,0.0655302896879476
2009-12-31,Consumer Discretionary,S5COND Index,0.06515497931476101
2010-01-29,Consumer Discretionary,S5COND Index,0.06432411397305228
2010-02-26,Consumer Discretionary,S5COND Index,0.06354204541688095
2010-03-31,Consumer Discretionary,S5COND Index,0.06243055587388755
2010-04-30,Consumer Discretionary,S5COND Index,0.06143798781798401
2010-05-31,Consumer Discretionary,S5COND Index,0.06166653982183014
2010-06-30,Consumer Discretionary,S5COND Index,0.06217241120456939
2010-07-30,Consumer Discretionary,S5COND Index,0.06170537403696156
2010-08-31,Consumer Discretionary,S5COND Index,0.06370239339333912
2010-09-30,Consumer Discretionary,S5COND Index,0.06205247320938787
2010-10-29,Consumer Discretionary,S5COND Index,0.06086945608621404
2010-11-30,Consumer Discretionary,S5COND Index,0.05717309213047993
2010-12-31,Consumer Discretionary,S5COND Index,0.05676322417150248
2011-01-31,Consumer Discretionary,S5COND Index,0.05563949098918483
2011-02-28,Consumer Discretionary,S5COND Index,0.05500777441720795
2011-03-31,Consumer Discretionary,S5COND Index,0.0549363020096072
2011-04-29,Consumer Discretionary,S5COND Index,0.05507944731735039
2011-05-31,Consumer Discretionary,S5COND Index,0.055081186495310304
2011-06-30,Consumer Discretionary,S5COND Index,0.055625152672510836
2011-07-29,Consumer Discretionary,S5COND Index,0.05732380701802963
