"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"
"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"

,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
111CA,Farms,38800,667,---,23,17,---,1314,---,---,---,---,---,---,---,---,---,---,493,182320,2043,---,---,---,---,15695,---,1561,139,979,236,357,---,---,---,---,---,---,51,---,---,---,---,---,1,---,---,---,0,3,---,1,1,484,27,857,---,101,---,---,---,---,---,257,25,1171,23,7,-458,---,2522,---,249715,55710,---,---,---,---,-809,43379,-25071,---,---,---,---,---,---,---,---,---,---,---,---,73209,322924
113FF,"Forestry, fishing, and related activities",20243,5901,---,116,---,---,---,11011,1,---,---,---,---,---,---,---,100,419,6919,---,67,2638,51,---,389,1883,---,---,647,---,5,---,---,---,---,---,---,3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,83,9,1,---,75,---,---,---,---,---,186,344,2619,75,---,79,24,2664,---,56552,6027,---,---,---,---,-305,4940,-15359,---,---,---,---,---,---,---,---,---,---,---,---,-4697,51855
211,Oil and gas extraction,---,---,46646,82,65,107279,---,16,2,19,7,---,---,---,3,---,---,---,13,---,---,28,2,515427,14229,22,115,11,27,14,68,---,---,---,---,---,447,---,17,9,2,9,2,---,---,---,---,---,295,---,---,3,64,208,3,18,264,43,128,76,25,18,57,89,259,203,---,3365,2879,---,21182,713737,---,---,---,---,---,-446,7620,-389629,---,---,---,---,---,---,---,---,---,---,---,---,-382455,331282
212,"Mining, except oil and gas",2058,1,74,8537,84,11820,11399,17,11002,15156,773,152,32,122,106,56,24,170,3034,286,---,2774,---,791,7105,335,16,---,---,---,2,---,98,0,6,0,---,1,3,130,56,189,71,---,---,---,---,1,---,---,---,---,777,53,336,74,401,---,38,35,6,241,638,79,415,809,---,2307,---,2151,4426,89269,504,---,521,---,---,-227,15436,-8896,---,---,---,---,---,---,---,---,---,---,---,---,7338,96607
213,Support activities for mining,---,---,9271,1791,1711,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,18,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,12792,---,120348,1843,---,---,-1,3344,-729,---,---,---,---,---,---,---,---,---,---,---,---,124805,137597
22,Utilities,6258,143,2706,3812,206,27539,5382,2472,6127,12066,6042,3260,4797,1502,5076,1822,1051,1992,16172,2260,351,9343,1426,885,17779,6210,11188,1241,7655,4983,13114,273,106,105,1743,285,2210,9181,6194,779,277,2116,813,2827,1832,1233,3544,20,54525,3153,358,608,2884,9068,2133,368,6408,2533,5258,2303,908,758,2137,5561,19092,5819,2815,1452,1351,22173,1661,371724,254343,---,---,---,---,---,4459,-3933,---,---,---,---,---,---,---,---,---,---,---,---,254870,626594
23,Construction,1743,37,3268,2169,3051,6253,245,274,386,990,709,515,822,167,456,217,146,258,1272,114,43,547,277,2989,1575,543,1269,170,413,440,1535,70,992,77,358,131,2495,320,387,102,41,1923,82,6048,2353,1311,453,59476,47402,155,78,41,779,479,348,25,389,402,486,294,253,109,303,644,1346,3206,5128,1400,455,21266,34532,229029,---,434317,---,---,397349,---,87,---,---,13671,---,---,---,10317,---,---,---,278330,---,---,1134070,1363100
321,Wood products,370,18,---,32,195,---,35930,17475,271,308,142,848,574,288,2453,284,5632,984,167,59,0,3590,2,---,282,1411,2102,51,453,107,691,---,1501,---,97,---,23,75,59,254,120,680,721,91,7,---,---,4,5997,127,7,9,540,3,456,17,45,253,155,4,1363,5,127,340,509,316,22,51,1,2363,154,91215,4667,267,---,---,5092,-1842,4385,-14773,---,---,---,---,---,---,13,---,---,---,---,---,-2193,89022
327,Nonmetallic mineral products,4,35,494,288,538,18,57037,676,14517,2876,1411,1718,518,1275,5602,302,314,1023,4179,53,---,392,1,431,1269,1592,397,87,56,291,567,---,10,---,17,---,2,57,48,13,1,1535,662,51,28,36,---,7,167,211,8,75,3269,168,1030,98,92,1563,668,167,218,16,128,58,1270,986,39,433,---,1358,1693,114144,12867,---,---,---,---,-1453,7666,-20764,---,---,---,---,---,---,---,---,---,---,---,---,-1685,112460
331,Primary metals,134,---,3112,714,732,1,5277,282,1612,87047,89885,46296,8329,18228,33444,13997,3576,7891,2058,172,---,732,38,7,49,1623,1561,9,---,0,564,---,1872,---,---,---,---,292,---,77,27,249,121,---,---,---,---,0,1204,41,---,43,1647,56,472,555,218,294,166,25,324,68,415,17,76,822,114,396,---,408,387,337753,1169,---,---,---,---,-1456,34576,-100870,---,---,---,---,---,---,---,---,---,---,---,---,-66581,271173
332,Fabricated metal products,2389,137,3152,1149,991,1721,81376,3194,2146,5761,41585,28215,13222,9644,20817,13786,4854,5661,14910,548,86,6048,1164,179,9215,7139,2096,193,141,127,1526,124,259,4573,1038,211,925,531,337,2093,20,9423,1157,127,149,---,21,1,1468,607,13,1222,6598,815,1798,2358,393,496,511,22,1196,59,1045,662,1668,3605,4604,2099,889,4004,2977,343268,12388,---,13611,---,---,-1569,26029,-50979,---,---,2358,---,---,---,1294,---,---,---,1465,---,4597,347865
333,Machinery,3007,324,4006,3330,4064,356,24940,352,78,1482,3993,33901,539,1568,22248,3471,119,1584,2233,17,4,988,1269,22,3219,1207,2347,125,91,128,393,3,55,21,139,72,193,1245,722,277,66,882,302,36,82,51,---,2,54,539,23,632,1751,91,1826,2532,1414,239,265,159,98,25,95,53,371,3962,841,143,28,2605,804,144104,8250,---,193698,---,---,1754,113195,-122881,---,---,955,---,---,---,450,---,---,---,4577,---,199997,344101
334,Computer and electronic products,88,1,35,41,220,31,6864,834,499,1366,4676,6232,73861,2766,11379,12429,837,2077,2822,310,32,505,747,63,3193,1535,4272,171,210,245,1611,2,56,1,146,1,36,181,89,2028,1052,12288,1718,632,717,23,650,0,228,68,917,2748,6198,7155,2480,507,1209,3204,190,109,227,13,90,176,74,2917,11969,2038,0,1333,1065,204490,89973,---,176252,---,356,3981,120942,-265291,---,---,24651,---,---,---,6095,---,---,---,14946,---,171905,376395
335,"Electrical equipment, appliances, and components",225,136,45,24,196,11,30303,314,70,1802,2643,10233,5690,9651,4541,1642,75,870,817,32,2,341,60,24,660,664,399,61,67,53,394,2,141,34,99,68,3,21,117,1,---,2932,272,189,221,73,---,0,272,196,2,989,4701,84,1713,413,312,47,317,152,329,13,161,274,427,2198,721,2370,60,2128,2155,96254,35812,---,24153,---,3945,-761,28174,-68033,---,---,502,---,---,---,1481,---,---,---,1760,---,27034,123288
3361MV,"Motor vehicles, bodies and trailers, and parts",673,74,496,846,494,16,1689,1380,487,699,1385,11039,1869,727,127063,2966,406,822,3658,82,1,980,148,39,1073,437,3347,5824,671,140,2131,---,26,---,3933,318,2,70,1022,1334,36,628,20,32,17,---,---,---,---,423,---,24,1556,373,3063,809,391,218,233,58,955,91,43,72,339,12976,3024,90,2212,3824,630,210501,164704,---,154110,---,---,-5686,84934,-212488,---,---,1277,---,---,---,475,---,---,---,12288,---,199614,410115
3364OT,Other transportation equipment,---,84,---,9,---,---,36,79,---,---,72,437,---,---,435,50487,---,---,---,---,---,---,---,---,---,---,8,21,---,---,---,1006,1180,1525,3,29,---,623,---,---,---,1,---,---,---,---,---,---,---,---,---,---,367,19,29,30,---,---,---,---,100,---,6,---,---,69,23584,1016,4,1,27,81286,23793,---,49033,---,---,-1951,83880,-43455,---,---,43627,---,---,---,4998,---,---,---,1834,---,161759,243045
337,Furniture and related products,3,---,---,---,---,---,13344,489,0,---,---,367,223,1,27,202,3628,219,---,---,---,0,---,---,---,323,172,87,---,9,598,---,---,3,---,---,---,8,---,0,---,126,327,---,---,---,---,3310,42,---,9,2,150,8,1,---,---,319,40,1,107,226,254,4,216,134,---,---,561,9,961,26508,43927,---,27431,---,426,-1557,3541,-28761,---,---,1,---,---,---,26,---,---,---,2798,---,47834,74342
339,Miscellaneous manufacturing,89,1,15,26,23,---,909,21,172,47,48,2118,5,572,1772,35,13,8240,32,15,251,0,5,1,760,99,1101,27,70,6,848,0,1,---,5,20,7,234,75,9,1,87,64,247,153,9,---,0,139,23,20,16,1147,16,1664,663,368,15327,15299,865,2171,98,428,37,194,1865,117,555,---,5789,20,65056,96777,---,46426,---,---,275,31418,-81189,---,---,61,---,---,---,108,---,---,---,821,---,94696,159752
311FT,Food and beverage and tobacco products,28953,552,---,---,---,---,---,25,466,10,---,---,---,---,---,---,---,14,163789,11,486,370,503,136,7129,182,1204,3,3765,1051,1935,223,1,177,7,---,---,23,---,135,7,---,5,---,---,---,---,---,---,---,---,---,1137,112,0,---,6476,27,4991,4826,5985,913,4305,5267,40177,999,3382,94,705,40507,---,331063,470458,---,---,---,---,1583,50110,-63634,---,---,---,---,---,---,---,---,---,---,---,---,458518,789581
313TT,Textile mills and textile product mills,285,99,---,2,---,---,1726,386,167,---,1,531,2,0,2300,784,2728,2101,124,9637,2550,3147,246,17,2,2294,762,24,137,1454,1598,---,---,251,12,---,2,61,4,11,110,7,6,---,---,---,---,0,37,155,---,---,175,6,104,75,47,52,385,1633,583,1,686,1404,209,1169,811,370,1,2186,5,43666,22998,---,1506,---,570,-1105,9451,-24502,---,---,---,---,---,---,21,---,---,---,24,---,8963,52629
315AL,Apparel and leather and allied products,9,---,---,---,---,0,---,---,1,---,---,---,---,---,1113,---,---,119,11,230,3453,---,1991,3,---,1,820,68,7,483,357,---,---,---,---,---,---,---,---,54,6,1313,0,---,---,---,---,---,---,51,---,---,37,6,339,143,105,281,279,---,852,28,80,41,506,1540,192,11,52,3286,19,17886,128563,---,---,---,---,-2338,4290,-122340,---,---,---,---,---,---,---,---,---,---,---,---,8175,26062
322,Paper products,354,1,34,146,70,9,1870,829,1705,1612,1692,1901,1152,1314,3362,495,1397,2439,18556,383,46,47790,14198,77,5511,4848,4316,47,1285,342,1503,12,61,13,137,872,171,2641,115,3588,153,308,106,1475,341,443,6,0,489,504,222,259,2490,866,2844,194,297,1350,758,381,439,89,162,1617,2281,846,164,2178,46,11134,15,159350,22517,---,---,---,---,-685,19794,-25106,---,---,---,---,---,---,---,---,---,---,---,---,16520,175870
323,Printing and related support activities,42,---,5,4,---,31,26,5,---,---,24,8,---,3,4,---,---,---,71,---,23,---,2107,1,299,---,7119,59,241,178,2998,8,30,---,215,54,27,226,12,12140,687,537,1160,797,2915,2918,---,---,50,586,706,362,6025,1551,2952,18,1236,1940,1396,165,1532,990,310,565,668,1798,973,2835,23,11048,273,72973,3856,---,---,---,---,-547,2160,-2470,---,---,---,---,---,---,---,---,---,---,---,---,2999,75972
324,Petroleum and coal products,11741,858,3892,7560,4088,36172,52351,1679,1924,5326,1954,1577,722,1007,951,326,476,2334,4645,557,74,3411,1444,21681,25861,1390,4954,350,599,180,1590,39839,8040,6712,27220,2152,57,7532,361,419,90,554,317,7898,3244,43,1801,12,3054,2538,131,755,2420,2024,7373,4785,1061,944,2880,1473,612,338,1217,1141,3453,5038,29232,1709,3602,113931,14295,511968,263146,---,---,---,---,-654,68202,-128447,---,---,---,---,---,---,---,---,---,---,---,---,202247,714215
325,Chemical products,22378,2149,4710,2426,1643,1142,8836,2594,4330,2442,7046,2885,4426,2860,8126,1301,2209,9048,5589,12257,260,9619,5075,4622,226559,60764,1944,43,59,51,561,1,126,8,233,12,5,163,243,690,139,614,177,132,177,45,---,48,7964,48,143,142,10358,1590,5303,1434,652,27427,31702,2525,394,107,538,54,282,3862,1824,2611,126,28440,2101,550395,225469,---,4395,---,---,-5533,142004,-202124,---,---,---,---,---,---,---,---,---,---,---,---,164210,714606
326,Plastics and rubber products,1325,84,42,926,531,6,21394,1007,1165,712,2190,9601,5564,2338,15776,3497,3229,5552,15010,397,143,2889,3611,90,10186,16112,7313,740,1407,301,3064,53,5,2,713,20,88,2541,197,734,55,3179,194,387,176,429,2,1,287,729,95,413,4245,204,1469,331,392,6693,1782,1067,970,34,251,112,3635,3676,1548,871,7,7666,1872,183329,30854,---,126,---,26,-2115,21180,-35439,---,---,---,---,---,---,17,---,---,---,---,---,14649,197978
42,Wholesale trade,19772,1568,2885,3410,2276,6676,53501,5665,4674,19232,15418,20829,17169,7716,33948,8611,4637,8103,55946,2826,2079,10328,4085,18070,37611,10940,31667,1784,1848,1274,10785,3394,1882,1856,7436,695,282,2897,550,8150,209,9181,980,2422,1604,583,611,389,2671,10023,456,1516,8302,3719,5481,1953,2452,14225,13396,2412,2980,432,2193,2398,12040,7674,8392,2967,1382,28197,4623,608341,385194,31,127184,12739,1448,-1363,137857,29243,---,---,6907,316,---,---,2550,463,---,---,5615,692,708876,1317217
441,Motor vehicle and parts dealers,7,2,51,106,93,7,1117,153,98,60,230,1245,175,3,1705,365,69,186,724,17,0,175,29,0,258,87,129,1229,151,29,434,0,3,0,376,3,0,3,22,255,7,41,2,7,4,1,---,89,171,121,0,4,165,---,463,21,0,---,0,0,0,1,4,10,47,2605,0,0,0,0,1,13361,94839,---,9039,---,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,103879,117241
445,Food and beverage stores,31,0,0,0,---,53,161,0,2,0,1,14,7,2,6,0,6,9,11,0,0,1,19,0,41,11,6,9,49,10,50,0,2,0,179,14,0,11,0,1,0,0,1,2,4,1,---,60,8,1,0,0,5,---,39,0,8,4,6,2,1,8,47,28,835,29,0,0,0,27,---,1826,172040,---,111,0,5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,172157,173983
