"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"
"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"

,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
111CA,Farms,40473,538,---,15,12,---,1315,---,---,---,---,---,---,---,---,---,---,514,168712,3290,---,---,---,---,13361,---,1466,197,712,185,213,---,---,---,---,---,---,57,---,---,---,---,---,0,---,---,---,0,2,---,1,1,463,31,696,---,108,---,---,---,---,---,231,25,1206,21,6,-513,---,2145,---,235484,52587,---,---,---,---,3512,31394,-23023,---,---,---,---,---,---,---,---,---,---,---,---,64470,299954
113FF,"Forestry, fishing, and related activities",18499,6217,---,90,---,---,---,13211,1,---,---,---,---,---,---,---,98,327,6718,---,77,2752,44,---,299,1502,---,---,589,---,6,---,---,---,---,---,---,3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,75,9,1,---,76,---,---,---,---,---,157,272,2370,57,---,55,33,2544,---,56082,5508,---,---,---,---,-587,4992,-14486,---,---,---,---,---,---,---,---,---,---,---,---,-4574,51509
211,Oil and gas extraction,---,---,23571,40,74,77994,---,13,2,15,6,---,---,---,3,---,---,---,9,---,---,21,2,374533,10398,20,84,12,22,11,68,---,---,---,---,---,255,---,12,6,2,7,2,---,---,---,---,---,133,---,---,2,46,175,3,16,208,30,99,59,15,16,43,63,203,141,---,1030,2087,---,16476,508026,---,---,---,---,---,939,4904,-277936,---,---,---,---,---,---,---,---,---,---,---,---,-272093,235933
212,"Mining, except oil and gas",1934,1,38,6945,66,10668,11554,16,12029,12976,725,128,70,146,95,57,25,156,2289,258,---,2290,---,1298,6698,300,12,---,---,---,1,---,102,0,5,0,---,1,2,131,115,280,50,---,---,---,---,1,---,---,---,---,754,48,350,61,357,---,33,32,3,269,649,68,355,568,---,1922,---,1334,3170,81438,193,---,166,---,---,-743,11843,-6513,---,---,---,---,---,---,---,---,---,---,---,---,4944,86382
213,Support activities for mining,---,---,7766,1583,1556,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,18,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,10924,---,102227,1526,---,---,15,2474,-661,---,---,---,---,---,---,---,---,---,---,---,---,105581,116505
22,Utilities,5189,116,1541,2597,124,20672,3957,1874,5311,10049,4571,2514,3805,1286,4242,1460,867,1488,10850,1731,321,6843,1130,2248,16426,4914,8300,1523,6172,4119,11360,139,83,90,1214,266,2069,10145,4306,473,219,1567,595,1926,800,412,1379,8,54334,2325,293,387,1907,7603,1469,292,5102,1464,3074,1437,446,502,1409,4022,14942,3324,2098,1128,1129,18217,1501,301698,240466,---,---,---,---,---,4146,-3237,---,---,---,---,---,---,---,---,---,---,---,---,241375,543073
23,Construction,1732,32,1240,1767,1676,5707,190,331,528,1016,744,559,904,210,602,235,180,266,1247,148,58,590,301,6407,1793,563,1055,254,381,417,1472,46,719,74,256,120,1789,166,281,80,54,1866,69,6488,1356,514,192,63439,46091,104,81,31,702,462,282,22,282,318,345,240,165,79,251,531,1202,2511,4587,1444,330,19332,32445,221956,---,393545,---,---,534673,---,86,---,---,10015,---,---,---,11343,---,---,---,264462,---,---,1214123,1436079
321,Wood products,389,17,---,24,133,---,40690,22043,276,314,146,842,690,344,2906,307,7182,1018,179,61,0,3749,2,---,308,1814,1802,62,442,115,763,---,1602,---,74,---,27,69,53,280,239,1057,801,106,6,---,---,4,7861,124,11,8,840,4,554,24,55,332,230,5,1282,7,166,351,538,378,22,55,0,2811,158,106754,4807,608,---,---,5992,-970,4375,-19451,---,---,---,---,---,---,56,---,---,---,---,---,-4583,102171
327,Nonmetallic mineral products,10,8,309,226,436,17,65356,844,17336,2394,1354,1566,523,1259,6223,261,342,951,4341,59,---,374,1,811,1194,1742,390,133,59,377,745,---,11,---,11,---,3,50,43,12,1,1928,756,38,14,18,---,7,196,217,12,64,4255,185,1105,109,96,1921,715,105,202,21,174,60,1298,896,27,362,---,1356,1832,127738,13689,---,---,---,---,-320,7279,-22870,---,---,---,---,---,---,---,---,---,---,---,---,-2221,125517
331,Primary metals,98,---,2124,505,622,1,4392,304,1601,80071,78757,42266,9317,19879,37780,11151,3820,7444,2156,117,---,775,40,14,49,1556,1505,6,---,0,821,---,1682,---,---,---,---,203,---,74,56,321,110,---,---,---,---,0,884,22,---,36,1386,41,316,450,127,183,255,15,157,55,270,13,80,573,112,490,---,340,396,315818,1152,---,---,---,---,399,29315,-92774,---,---,---,---,---,---,---,---,---,---,---,---,-61908,253909
