"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"
"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"

,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
331,Primary metals,82,---,4903,530,450,4,3993,181,991,80296,73547,44710,5632,16020,39159,11084,2923,5904,2231,202,---,749,18,14,43,1611,1079,6,---,0,573,---,1132,---,---,---,---,393,---,29,11,265,213,---,---,---,---,0,1788,75,---,33,1365,29,471,332,144,177,110,19,265,20,279,18,88,873,75,422,---,261,485,306308,487,---,---,---,---,3943,33465,-83912,---,---,---,---,---,---,---,---,---,---,---,---,-46017,260291
332,Fabricated metal products,1295,192,6117,1075,842,529,63186,2329,1833,5600,38233,29085,8064,8534,24771,14323,4258,5145,16002,484,29,6436,858,882,10535,7298,2400,315,139,130,1391,175,347,1902,927,141,897,913,749,1540,22,10005,1281,175,123,---,25,7,1521,1278,28,1901,4920,621,2272,2537,369,371,614,22,1338,33,718,733,1876,4794,4882,2045,905,3864,3803,322982,16588,---,12570,---,---,5406,33030,-57613,---,---,1634,---,---,---,1426,---,---,---,558,---,13598,336579
333,Machinery,1805,150,7177,2744,3757,672,23259,279,88,1577,4649,32661,279,1312,25125,3904,70,1650,2927,16,13,907,895,51,3874,1426,2688,185,112,178,534,10,255,41,190,80,183,2369,1750,175,60,1474,545,28,56,24,---,8,73,1294,35,1117,2101,136,2284,3101,1362,363,488,185,118,19,85,68,398,5839,750,215,48,2882,1061,156233,6852,---,229060,---,---,4614,114298,-136184,---,---,1200,---,---,---,364,---,---,---,5987,---,226192,382424
334,Computer and electronic products,76,1,46,31,194,83,5860,820,489,1579,5204,7649,36342,3453,16023,15944,854,2182,3436,312,13,670,601,305,4170,1844,11894,358,214,301,2229,3,103,2,120,2,18,103,160,2164,414,13648,3816,504,585,24,758,2,322,113,1173,5811,5960,5315,2911,725,660,5071,474,191,269,11,67,149,70,5080,11929,3184,0,1251,1482,197820,77582,---,176926,---,263,3087,103527,-299458,---,---,23304,---,---,---,7212,---,---,---,12393,---,104837,302657
335,"Electrical equipment, appliances, and components",580,108,138,36,279,15,26216,216,65,1592,2485,11206,2828,8616,5783,2312,87,964,1036,32,1,403,54,71,813,697,460,97,31,43,227,2,138,34,46,71,5,30,283,1,---,3287,290,99,39,12,---,2,532,374,1,1650,4277,92,1854,515,290,24,422,395,316,28,179,438,375,1838,726,2227,52,1328,2041,91806,39160,---,29258,---,5433,1898,31773,-82400,---,---,695,---,---,---,831,---,---,---,956,---,27604,119410
3361MV,"Motor vehicles, bodies and trailers, and parts",617,97,863,776,476,33,2077,1259,378,783,1346,14080,983,593,166923,2893,401,823,4416,76,0,1190,122,136,1434,529,5632,6900,922,351,2615,---,41,---,3486,183,2,128,2291,498,46,925,98,55,13,---,---,---,---,1346,---,37,2272,428,5543,1062,287,286,578,77,1372,20,47,102,430,15428,3846,104,3108,3990,963,268816,193549,---,217246,---,---,14157,105665,-277035,---,---,2678,---,---,---,768,---,---,---,12949,---,269978,538794
3364OT,Other transportation equipment,---,15,---,10,---,---,15,30,---,---,48,183,---,---,498,65727,---,---,---,---,---,---,---,---,---,---,12,16,---,---,---,611,1227,764,1,14,---,1118,---,---,---,2,---,---,---,---,---,---,---,---,---,---,245,7,22,24,---,---,---,---,0,---,2,---,---,49,27776,1282,3,0,43,99745,17372,---,56239,---,---,3481,112272,-49721,---,---,37369,---,---,---,1567,---,---,---,888,---,179467,279212
337,Furniture and related products,0,---,---,---,---,---,11681,514,0,---,---,365,115,1,34,174,2940,241,---,---,---,0,---,---,---,303,359,124,---,9,873,---,---,1,---,---,---,8,---,0,---,165,316,---,---,---,---,2458,34,---,7,1,233,4,2,---,---,249,54,1,96,116,253,4,217,169,---,---,1564,6,708,24399,39901,---,25188,---,443,762,3898,-31611,---,---,1,---,---,---,90,---,---,---,1962,---,40634,65034
339,Miscellaneous manufacturing,84,1,27,23,19,---,661,22,124,49,57,2242,3,474,1951,88,8,7729,31,17,113,0,5,3,647,91,967,83,77,7,1052,0,1,---,4,12,1,193,138,7,2,115,87,167,59,14,---,0,210,73,48,52,1330,11,1412,381,403,16957,19745,957,1258,84,386,42,446,1498,312,338,---,5637,49,69084,80473,---,46158,---,---,3475,31252,-78392,---,---,122,---,---,---,176,---,---,---,843,---,84107,153190
311FT,Food and beverage and tobacco products,33303,500,---,---,---,---,---,20,429,11,---,---,---,---,---,---,---,11,183504,14,674,442,659,628,8469,195,1817,7,3478,1104,1947,594,1,270,15,0,---,49,---,75,9,---,45,---,---,---,---,---,---,---,---,---,5966,117,0,---,7840,20,8394,6687,9018,728,5561,7229,59727,1316,3807,124,1218,49603,---,405627,527314,---,---,---,---,6209,69306,-79338,---,---,---,---,---,---,---,---,---,---,---,---,523491,929118
313TT,Textile mills and textile product mills,245,125,---,2,---,---,1177,362,247,---,3,746,1,0,2810,1043,2886,2142,138,9567,1624,3984,230,26,2,2442,1584,48,131,1947,1870,---,---,251,8,---,5,86,11,4,98,10,7,---,---,---,---,0,69,221,---,---,255,8,88,79,36,39,437,1430,719,0,394,1150,207,1285,1014,368,4,1597,16,45281,21461,---,1475,---,375,926,9332,-28506,---,---,---,---,---,---,49,---,---,---,13,---,5126,50407
315AL,Apparel and leather and allied products,13,---,---,---,---,0,---,---,1,---,---,---,---,---,1753,---,---,84,13,576,2153,---,2758,13,---,2,741,132,10,419,640,---,---,---,---,---,---,---,---,104,16,1207,1,---,---,---,---,---,---,101,---,---,66,18,341,118,95,197,199,---,1754,108,30,14,126,960,141,37,47,3228,40,18253,130904,---,---,---,---,4289,4844,-138428,---,---,---,---,---,---,---,---,---,---,---,---,1608,19862
322,Paper products,323,0,68,137,65,28,1802,748,1527,1659,1838,2101,746,1104,4197,685,1255,2169,19999,412,12,47012,9373,263,6552,5114,5766,80,1051,306,1378,18,72,10,123,1157,108,3236,321,2371,86,405,152,1280,342,226,4,0,838,777,430,370,2738,817,3605,260,243,1491,1903,892,751,58,132,1909,2740,982,140,2389,86,11029,34,162296,20244,---,---,---,---,1343,21953,-22492,---,---,---,---,---,---,---,---,---,---,---,---,21047,183343
323,Printing and related support activities,23,---,12,4,---,5,28,10,---,---,27,9,---,4,5,---,---,---,80,---,6,---,1331,4,449,---,9698,114,203,175,2927,5,22,---,142,38,12,416,22,6400,539,569,2544,954,1465,1830,---,---,63,529,818,261,4628,817,2386,15,883,1594,2060,146,1557,695,151,642,600,1266,718,2005,31,8801,396,61128,5662,---,---,---,---,579,2327,-2356,---,---,---,---,---,---,---,---,---,---,---,---,6213,67342
324,Petroleum and coal products,10202,919,8848,7257,4310,26719,51102,1072,993,3420,1321,1093,256,727,617,262,344,1590,3620,184,10,2076,776,43969,15083,916,7281,764,655,235,2300,37992,9083,7144,51385,3364,112,13250,1894,319,89,631,581,9967,3908,36,1780,58,5542,3347,62,1016,2313,1500,4289,2014,1130,995,4526,999,680,172,932,1202,3513,3756,22133,1758,4054,98414,20161,525023,285375,---,---,---,---,-24,119812,-105810,---,---,---,---,---,---,---,---,---,---,---,---,299353,824376
325,Chemical products,26472,3172,7470,2483,1803,1834,9390,2664,4087,2007,6709,3379,2522,2559,10897,1636,2013,7636,6167,12613,86,9980,4243,28722,248517,64221,2983,82,48,50,814,1,273,10,185,9,6,123,520,856,152,726,413,99,86,20,---,37,10990,142,178,207,11882,921,6199,1567,561,23397,21234,2372,449,129,508,74,413,3931,2370,2756,167,25973,2698,599892,239795,---,3359,---,---,9216,157570,-210900,---,---,---,---,---,---,---,---,---,---,---,---,199038,798931
326,Plastics and rubber products,1123,96,79,1060,807,19,20231,643,1181,779,2406,11644,2615,2157,19924,4005,3287,6021,16477,365,55,3026,3036,424,12206,19283,10934,1063,1414,294,3255,194,6,1,739,18,197,3465,452,467,89,4526,272,270,121,241,1,2,171,1868,131,1066,5091,139,1725,363,538,6101,2516,1048,1472,27,176,117,4644,4525,1922,999,34,8187,2280,206110,32202,---,204,---,30,3304,25673,-46815,---,---,---,---,---,---,32,---,---,---,---,---,14631,220741
42,Wholesale trade,33564,2426,6002,3739,2760,6572,56570,6745,4527,21609,16761,27050,11855,8071,51176,13286,4856,10435,82638,3014,1591,12636,4170,26466,55187,14742,47809,2701,2141,1822,11972,3837,2500,1870,13876,1050,330,5829,1872,7594,393,12368,1970,3008,1535,381,780,359,4266,11789,871,2854,12022,3800,7553,2341,3208,16462,14614,3110,4138,431,3467,3357,20235,10221,11425,3816,2172,33486,7243,797323,478907,55,190899,21954,2148,12987,194450,35468,---,---,9293,438,---,---,4221,601,---,---,6566,1478,959465,1756789
441,Motor vehicle and parts dealers,7,3,101,111,93,10,1350,159,82,77,244,1662,88,3,2298,418,72,202,923,17,0,230,25,2,354,105,171,1513,222,81,569,0,4,0,426,2,0,6,83,101,10,53,3,12,3,2,---,63,334,298,1,8,302,---,893,34,0,---,0,0,0,1,5,15,57,3167,0,0,0,0,1,17080,148291,---,14153,---,3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,162447,179529
445,Food and beverage stores,21,0,1,0,---,38,169,0,2,0,1,13,1,2,8,0,5,12,10,0,0,1,15,3,42,10,9,10,34,9,40,0,3,1,227,14,0,17,0,1,0,0,1,2,3,0,---,42,12,2,1,1,5,---,46,0,6,4,6,1,1,7,24,28,928,28,0,0,0,21,---,1887,192732,---,156,1,6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,192895,194782
452,General merchandise stores,60,1,9,7,4,97,1300,10,10,5,18,143,8,10,149,19,29,74,94,3,0,14,46,6,132,60,38,118,36,9,73,0,8,2,650,39,1,47,4,8,1,3,4,8,8,1,---,224,132,33,4,2,30,---,175,2,10,11,6,1,3,3,7,31,218,296,0,3,0,20,0,4580,197790,---,1626,325,155,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,199896,204476
4A0,Other retail,650,14,58,121,8,1289,60597,128,9,21,99,902,56,105,627,42,286,729,665,52,1,64,813,226,2508,616,648,920,318,317,1168,2,86,282,7883,433,16,671,11,77,12,15,71,129,142,25,---,2432,473,112,63,35,306,---,832,11,63,253,124,54,57,154,317,594,4252,1908,2,62,1,428,0,96439,669265,---,25374,5236,4784,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,704659,801099
481,Air transportation,182,3,13,23,362,1011,490,172,287,286,638,495,92,60,377,292,212,440,731,52,11,191,264,276,464,487,6310,91,39,68,179,195,21,88,1510,15,4,1214,96,552,233,895,1476,4516,3756,867,695,5,6228,1212,1276,2647,4721,337,3917,462,729,2353,303,386,475,123,159,262,1125,611,6130,3720,390,3233,78,71610,120099,---,374,32,3,25,48607,-39769,---,---,33,1,---,---,6,1,---,---,16,2,129430,201040
482,Rail transportation,1936,81,504,1592,160,4422,1786,700,2435,4339,1005,667,82,286,1157,326,245,291,5898,100,3,2531,141,4284,5305,1447,323,32,92,32,87,99,164,20,4115,20,5,367,48,54,4,310,26,70,30,84,5,4,207,63,49,34,693,35,378,48,72,347,199,72,110,9,65,110,606,173,221,1301,701,1725,2531,57465,7980,---,3104,---,30,187,12098,328,---,---,33,---,---,---,7,---,---,---,96,---,23862,81327
483,Water transportation,534,33,295,228,75,365,1007,9,291,595,132,74,26,67,71,34,15,79,1072,38,0,164,1,132,1077,235,55,14,15,4,22,20,14,4,29,2,3,10,1,1,1,29,5,7,2,0,1,1,78,11,0,9,553,43,102,24,159,139,107,15,18,4,10,9,46,63,1495,207,849,538,224,11595,18646,---,10,0,0,30,6506,12634,---,---,3,0,---,---,0,0,---,---,0,0,37829,49424
484,Truck transportation,6462,439,921,857,439,2185,14464,1720,2306,6450,3715,4216,1404,1228,6418,1946,1171,1595,25921,847,202,3305,815,8209,8195,2540,4552,1398,1422,1526,4405,1099,354,269,5886,137,49,3033,345,828,398,1139,531,306,173,129,39,111,800,453,155,345,2643,325,1328,337,459,1204,1424,428,785,143,1138,489,2230,1879,2600,668,898,5564,1102,163498,76884,18,20227,552,873,1679,29955,3473,---,---,708,11,---,---,169,15,---,---,800,37,135401,298899
485,Transit and ground passenger transportation,---,2,1,4,100,559,382,51,74,83,185,140,20,15,90,72,60,163,145,9,3,53,75,75,101,128,770,35,5,16,59,1,349,---,---,---,1,177,5,155,63,605,672,1929,1168,813,193,4,2273,497,624,1032,2968,119,1582,127,315,1171,1122,509,121,1239,42,98,449,172,32,5,35,11229,610,35982,36040,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,36040,72021
486,Pipeline transportation,124,10,7284,61,31,7525,270,7,8,14,10,8,2,4,4,2,3,11,26,6,0,17,6,13953,295,11,60,6,5,2,18,300,72,56,406,27,1,104,15,3,1,4,5,79,31,0,14,1,46,26,0,8,14,12,40,15,10,9,37,7,5,1,7,9,27,29,175,16,607,761,5380,38140,2249,---,---,---,---,-422,2416,---,---,---,---,---,---,---,---,---,---,---,---,---,4243,42383
487OS,Other transportation and support activities,---,77,28,804,7,6665,---,856,899,176,109,15,0,3,6,---,545,231,417,94,---,505,430,998,180,465,42220,1048,783,467,6746,22053,1217,5445,25388,307,485,26606,2140,1783,555,167,2142,628,3104,382,---,---,---,2402,742,476,6530,238,1802,797,318,1228,1843,287,842,487,533,110,399,1084,2,138,955,495,3175,182057,18234,---,---,---,---,---,10845,2782,---,---,---,---,---,---,---,---,---,---,---,---,31860,213917
493,Warehousing and storage,371,---,10,273,---,770,---,88,114,81,817,374,2124,59,121,82,74,375,130,96,38,126,236,51,331,178,28246,5821,8278,11234,24293,37,2,379,2788,82,33,664,8285,766,180,393,767,---,---,141,---,1,76,442,233,150,943,4,2651,119,269,632,790,154,251,167,80,896,1389,669,226,577,---,3546,93,113667,205,---,---,---,---,---,149,---,---,---,---,---,---,---,---,---,---,---,---,---,353,114021
511,"Publishing industries, except internet (includes software)",58,1,28,0,4,191,423,16,2,17,71,38,53,3,13,144,9,47,7,---,0,5,58,3,67,7,1784,133,163,107,671,8,51,---,16,2,---,178,143,16069,32,563,1150,513,844,240,60,0,317,779,1130,554,2414,1369,966,8,639,1335,792,96,1186,22,38,100,88,521,1199,1463,386,6572,184,46153,66581,---,---,69476,---,1537,37163,-3752,---,---,---,1196,---,---,---,1642,---,---,---,4037,177880,224033
512,Motion picture and sound recording industries,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,47,131,202,---,71,4,---,---,1,---,61,5,---,47,21294,34536,117,19,20,---,---,---,56,526,7,18,1284,157,30,---,73,24,6,321,478,113,13,49,925,531,1143,486,50,143,---,62991,26850,---,---,31882,---,322,19003,-6686,---,---,---,---,---,---,---,---,---,---,---,---,71371,134362
513,Broadcasting and telecommunications,591,45,1766,194,733,1805,5847,303,808,399,1125,1021,456,188,610,523,217,558,1022,93,23,360,470,150,866,454,16282,1243,684,649,6699,418,176,70,1001,369,449,1523,649,2907,511,87257,8266,10953,6749,3023,1279,11,8920,2098,4341,2733,9082,4140,7397,567,2238,4812,2973,953,987,372,780,2768,4350,3963,6239,6063,1547,38530,1456,289102,306593,---,7201,23664,---,---,17299,-162,---,---,---,---,---,---,---,---,---,---,---,---,354594,643697
514,"Data processing, internet publishing, and other information services",---,0,69,5,27,1859,874,429,638,616,1440,1301,425,251,280,988,343,640,940,126,41,516,278,72,688,391,3654,1410,949,896,3937,205,1,---,39,21,24,334,136,2863,83,3179,6025,12640,3010,1276,1716,3,538,6651,2722,1985,9754,3280,11520,565,3222,1069,2218,255,804,347,465,512,2998,4355,8921,5140,735,10144,2402,136244,29185,---,---,17167,---,---,4468,-1023,---,---,---,735,---,---,---,854,---,---,---,2375,53761,190005
521CI,"Federal Reserve banks, credit intermediation, and related activities",2654,342,2335,940,625,9537,5121,575,780,1133,1853,1920,1862,866,1875,1052,696,1757,3730,314,236,1036,626,1190,4199,1263,29789,2830,2747,2250,12072,1309,9051,614,1107,3521,776,1337,425,2728,1622,10940,1393,58245,33438,2192,2091,117369,36544,11069,2339,2798,11707,22707,5534,594,4432,3381,4413,2274,1272,783,1707,5216,5641,10327,1,1072,4846,18714,3110,506839,205527,---,---,---,---,---,44708,-7195,---,---,---,---,---,---,---,---,---,---,---,---,243041,749880
523,"Securities, commodity contracts, and investments",208,20,2582,842,3353,689,1506,36,48,1751,2206,1792,141,351,1256,894,643,1404,102,7,2,12,29,70,30,64,2211,75,207,401,701,1987,472,3212,232,487,75,1013,28,343,234,176,105,25139,32768,2115,86751,1,3727,1198,803,405,2239,5290,1141,38,787,1076,3999,394,998,312,62,2513,2557,6647,2,7,69,18961,1444,233443,218263,---,---,---,---,---,65255,-58,---,---,---,---,---,---,---,---,---,---,---,---,283459,516902
524,Insurance carriers and related activities,3915,1045,5133,1293,5611,885,490,233,922,879,1114,1521,563,767,955,1075,429,694,3204,415,168,418,116,250,2478,702,25011,1396,989,927,4581,537,22,526,9502,1722,769,1932,2136,452,936,1563,520,4957,11837,328454,5576,708,31699,5954,3295,1109,6515,214,4255,804,1337,8947,37194,1937,3281,1184,910,1191,3088,2549,0,384,2405,1756,6430,566769,307516,---,---,---,6105,---,16224,-52396,---,---,---,---,---,---,---,---,---,---,---,---,277449,844218
525,"Funds, trusts, and other financial vehicles",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,8793,10582,---,---,---,---,---,---,25,---,---,---,---,---,---,---,---,---,---,---,---,---,53,---,2088,---,21542,139347,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,139347,160889
HS,Housing,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1776332,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1776332,1776332
ORE,Other real estate,24401,68,1265,77,305,4173,10860,588,722,441,3652,1403,2465,401,1236,1510,1114,1205,2297,547,210,1059,1430,74,2871,1984,58181,10130,12697,9547,62836,365,123,296,3484,741,310,3016,13981,6236,2783,15323,5066,23042,21110,26526,818,706,114920,9621,20767,5334,40201,18523,14129,1698,30707,44557,34628,22755,14915,7478,10810,1612,39573,43733,4286,9454,1198,34366,3542,872480,5731,16755,---,---,104626,---,3526,---,---,---,---,---,---,---,---,---,---,---,---,---,130638,1003118
532RL,Rental and leasing services and lessors of intangible assets,2757,152,5277,1737,3887,1592,15802,246,702,910,2141,1861,672,566,2796,1776,231,2092,3012,116,407,807,530,1319,4500,929,26532,573,1392,2521,6922,9084,3893,1447,6626,702,151,1982,1643,2617,2211,10065,5919,5647,6874,4049,37,518,1909,8338,3183,2829,14867,16240,5388,1496,2039,4549,4966,596,442,1185,1260,1876,7234,2675,379,234,1081,6078,421,247489,76337,---,---,---,---,---,74350,---,---,---,---,---,---,---,---,---,---,---,---,---,150686,398175
5411,Legal services,352,116,3047,641,1790,5803,5772,238,313,289,1283,1277,4180,245,1428,1367,218,1290,959,132,56,380,229,349,3061,527,16956,400,411,901,2976,396,645,87,142,68,172,441,337,3896,576,3193,2654,6631,10041,16129,2884,107,13458,1067,2940,4025,11227,8720,5817,390,438,4915,13167,1344,602,1446,1599,1057,2825,2719,1195,388,1260,8225,1135,195347,90509,---,---,---,12589,---,12009,-2442,---,---,---,---,---,---,---,---,---,---,---,---,112664,308011
5415,Computer systems design and related services,327,49,4347,263,69,2092,4012,241,286,423,1619,1620,530,94,459,2154,228,681,861,129,20,278,469,270,533,586,14531,1648,632,1025,3740,193,1165,4,281,51,9,159,361,3799,352,4426,6396,10286,8522,3179,1138,37,1632,814,4311,3483,8600,11710,7481,231,1511,3879,6530,1007,985,197,575,690,2008,2155,21436,20582,872,14375,3897,203536,---,---,23496,175152,---,---,16302,-25655,---,---,1753,7029,---,---,---,18043,---,---,990,7411,224522,428058
