,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
331,Primary metals,73,---,2194,473,624,7,3800,195,1188,63987,68670,35497,4503,13855,38026,10208,2878,5472,2264,231,---,725,15,8,36,1724,629,4,---,0,564,---,1021,---,---,---,---,276,---,20,8,273,183,---,---,---,---,0,2397,55,---,21,1175,28,379,248,137,124,72,13,183,14,204,17,68,510,80,379,---,280,424,266436,525,---,---,---,---,1787,29517,-73345,---,---,---,---,---,---,---,---,---,---,---,---,-41516,224920
332,Fabricated metal products,1395,163,3712,1023,1206,808,76073,2712,1856,4846,37969,27483,7279,8700,26397,15024,4456,5213,15137,497,27,6139,804,453,10079,7915,1879,339,141,154,1307,116,348,1932,1312,247,1027,705,715,1237,20,10239,1026,177,148,---,29,11,2513,965,27,2289,4703,533,1905,2293,345,263,597,22,1365,53,567,831,1936,3541,5247,1695,490,3628,3901,330184,16446,---,14042,---,---,4808,32381,-64913,---,---,982,---,---,---,1591,---,---,---,403,---,5739,335923
333,Machinery,1996,190,3940,3173,5995,989,28237,431,120,1633,4964,35115,302,1451,28451,5189,80,1928,3157,20,7,974,874,51,4341,1581,2098,291,107,161,621,22,128,45,360,92,82,3013,1682,128,44,1666,452,9,52,69,---,24,94,1903,25,1273,2303,238,2269,2992,1121,456,446,144,111,17,88,71,447,5410,796,196,258,3501,1233,171727,7060,---,221234,---,---,3311,101915,-151446,---,---,523,---,---,---,575,---,---,---,8962,---,192133,363860
334,Computer and electronic products,160,1,29,33,342,168,6283,1096,583,1445,6013,7562,35167,3679,20324,17012,982,2391,3718,351,13,501,659,179,4508,2052,12617,601,251,356,1483,2,120,2,173,2,7,119,138,2376,322,15887,3968,467,1063,13,1001,3,619,107,1131,5777,6349,4874,3391,688,646,5768,517,164,346,15,72,212,101,3775,14266,2890,0,1594,1657,211182,72766,---,186270,---,256,5372,97428,-315507,---,---,14822,---,---,---,9075,---,---,---,12577,---,83059,294241
335,"Electrical equipment, appliances, and components",816,82,95,48,457,44,33320,317,88,1460,2406,12279,2604,8584,6811,2428,108,991,1176,41,1,465,64,60,861,996,251,171,34,255,226,1,137,26,73,122,3,38,308,1,---,3742,219,97,59,15,---,2,1333,227,1,2155,4577,72,1505,677,380,14,338,472,372,33,188,597,379,2063,749,2067,53,1328,2104,104062,41121,---,27947,---,6148,2124,31496,-92036,---,---,317,---,---,---,969,---,---,---,1199,---,19285,123346
3361MV,"Motor vehicles, bodies and trailers, and parts",923,109,512,1070,796,92,2515,1681,544,818,1589,13793,1049,772,196147,3728,504,997,4954,101,0,1391,144,123,1591,727,6393,5508,1312,381,3309,---,60,---,6008,455,1,222,2231,464,64,1535,141,74,19,---,---,---,---,1421,---,51,2914,530,8401,1289,468,411,860,97,1803,39,69,127,691,13227,5378,128,3837,6662,1185,314431,199605,---,277775,---,---,10229,104271,-317493,---,---,11400,---,---,---,570,---,---,---,13121,---,299479,613910
3364OT,Other transportation equipment,---,5,---,10,---,---,15,26,---,---,52,178,---,---,579,63077,---,---,---,---,---,---,---,---,---,---,23,9,---,---,---,244,988,815,17,33,---,1553,---,---,---,2,---,---,---,---,---,---,---,---,---,---,145,4,26,27,---,---,---,---,31,---,30,---,---,50,30346,872,6,0,47,99209,20004,---,66877,---,---,8097,125758,-56485,---,---,34332,---,---,---,1920,---,---,---,463,---,200967,300176
337,Furniture and related products,1,---,---,---,---,---,16108,572,1,---,---,421,102,1,40,414,3373,292,---,---,---,1,---,---,---,408,427,140,---,9,992,---,---,2,---,---,---,15,---,1,---,184,253,---,---,---,---,2119,84,---,13,2,354,5,3,---,---,182,59,1,109,204,278,4,219,239,---,---,994,9,717,29349,43849,---,29564,---,534,983,3898,-38580,---,---,0,---,---,---,114,---,---,---,2035,---,42397,71746
339,Miscellaneous manufacturing,101,1,13,29,31,---,846,38,100,47,66,2221,3,557,2203,166,5,7428,43,52,111,0,4,4,553,106,681,136,84,8,983,0,1,---,6,21,1,197,127,6,2,133,80,105,50,7,---,0,389,60,31,53,1568,11,1519,380,407,18222,22480,893,1465,79,352,49,576,1413,522,388,---,5746,63,74023,86283,---,47220,---,---,3676,31180,-91959,---,---,45,---,---,---,191,---,---,---,1054,---,77690,151713
311FT,Food and beverage and tobacco products,30063,487,---,---,---,---,---,37,452,9,---,---,---,---,---,---,---,11,185164,13,513,363,270,242,6551,178,1830,4,2622,909,1789,462,1,325,23,0,---,35,---,52,12,---,44,---,---,---,---,---,---,---,---,---,6042,121,0,---,7888,12,7817,6488,10518,800,5425,7278,64407,1775,4348,98,947,49435,---,405863,557642,---,---,---,---,14552,63299,-88239,---,---,---,---,---,---,---,---,---,---,---,---,547253,953116
