"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"
"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"

,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
111CA,Farms,62643,724,---,26,16,---,1316,---,---,---,---,---,---,---,---,---,---,276,235742,2529,---,---,---,---,23022,---,1865,390,1116,211,410,---,---,---,---,---,---,77,---,---,---,---,---,1,---,---,---,0,5,---,3,1,1363,48,1128,---,152,---,---,---,---,---,365,47,2324,40,11,-267,---,3217,---,338803,62029,---,---,---,---,-18301,47250,-32285,---,---,---,---,---,---,---,---,---,---,---,---,58693,397496
113FF,"Forestry, fishing, and related activities",23196,4902,---,101,---,---,---,8869,1,---,---,---,---,---,---,---,101,352,7125,---,68,2858,34,---,472,2310,---,---,694,---,3,---,---,---,---,---,---,3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,253,11,1,---,63,---,---,---,---,---,151,382,2661,74,---,83,9,3266,---,58043,5694,---,---,---,---,694,6259,-16124,---,---,---,---,---,---,---,---,---,---,---,---,-3476,54567
211,Oil and gas extraction,---,---,27382,20,3,24586,---,2,0,6,1,---,---,---,0,---,---,---,1,---,---,3,0,533174,7558,2,33,4,6,3,14,---,---,---,---,---,66,---,5,5,1,2,7,---,---,---,---,---,468,---,---,0,16,37,1,6,299,9,49,8,5,1,9,19,51,23,---,227,2043,---,17286,613442,---,---,---,---,---,2457,8986,-335111,---,---,---,---,---,---,---,---,---,---,---,---,-323668,289775
212,"Mining, except oil and gas",2164,1,150,6979,70,10649,9857,9,7776,13417,690,215,9,106,74,89,14,131,1272,104,---,1710,---,2777,7635,142,24,---,---,---,3,---,107,0,4,0,---,2,3,60,29,241,347,---,---,---,---,2,---,---,---,---,877,46,394,79,279,---,61,28,8,190,536,81,398,971,---,2510,---,1484,5475,80280,260,---,393,---,---,1158,27927,-6497,---,---,---,---,---,---,---,---,---,---,---,---,23242,103522
213,Support activities for mining,---,---,12444,2038,1345,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,37,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,15866,---,152911,3778,---,---,11,3416,-992,---,---,---,---,---,---,---,---,---,---,---,---,159124,174990
22,Utilities,4509,117,5012,4060,244,25121,4090,2116,3764,10337,4418,2211,1568,1020,3017,1357,653,1034,8382,1395,63,6719,1345,7126,15547,5448,15963,2162,8185,5002,13219,110,95,95,1192,71,1196,825,12706,1059,373,4033,1218,2473,1221,382,2102,277,55276,1926,608,311,4335,8020,2199,517,6978,3363,9114,2437,1228,628,2345,5972,18881,5197,2286,1358,1310,17068,2660,348649,242449,---,---,---,---,---,3488,-2099,---,---,---,---,---,---,---,---,---,---,---,---,243838,592487
23,Construction,1664,40,1415,2918,2544,7507,222,231,386,956,707,543,244,157,490,207,120,187,1042,84,9,678,249,7451,1738,579,2223,370,519,523,2049,351,2114,60,313,206,1037,1599,916,115,38,2323,136,3514,1345,416,434,64235,48486,258,128,34,736,505,370,38,714,407,809,269,255,160,383,810,1581,3487,6425,1926,638,27157,42348,255130,---,312974,---,---,313747,---,99,---,---,8107,---,---,---,14843,---,---,---,261830,---,---,911600,1166730
321,Wood products,231,46,---,51,160,0,26232,15616,199,267,114,840,310,216,3011,295,5198,798,293,38,0,4187,1,---,217,945,2150,46,381,78,575,---,1323,---,58,---,12,80,117,105,90,691,918,71,4,---,---,8,5392,262,14,19,531,2,396,19,27,195,248,4,1203,3,109,336,498,250,18,57,2,2656,160,78373,5008,273,---,---,2772,818,4945,-13620,---,---,---,---,---,---,96,---,---,---,---,---,291,78664
327,Nonmetallic mineral products,6,60,618,337,536,37,40339,514,10063,2708,1137,1997,291,1570,6127,289,306,776,4922,27,---,504,1,1291,1414,1257,339,108,51,265,482,---,9,---,19,0,2,49,82,7,2,2105,719,39,24,5,---,8,107,384,6,71,2723,77,964,77,67,1538,1569,159,212,9,96,62,1348,1044,22,437,---,1509,1865,95784,10445,---,---,---,---,932,8549,-20384,---,---,---,---,---,---,---,---,---,---,---,---,-459,95326
331,Primary metals,94,---,4361,659,506,3,4030,192,1010,81273,73993,47540,4977,17066,38839,10651,3084,5093,2023,262,---,793,19,12,47,1688,1288,5,---,0,533,---,1023,---,---,---,---,418,---,31,10,289,269,---,---,---,---,0,1724,74,---,39,1583,35,476,351,139,208,118,23,345,20,303,16,88,886,77,353,---,298,426,309662,519,---,---,---,---,3823,35764,-84060,---,---,---,---,---,---,---,---,---,---,---,---,-43954,265707
332,Fabricated metal products,1415,164,5267,1270,950,364,60403,2329,1721,5693,38629,30949,7576,9153,24047,13374,4383,4336,16115,443,32,6727,942,752,10455,6954,2477,309,151,150,1318,155,347,2071,882,103,643,911,679,1613,19,11320,1505,133,115,---,20,10,1387,1140,33,1744,5563,711,2169,2344,348,430,611,24,1538,46,795,708,1822,4526,4373,1962,1022,3429,3521,319621,15435,---,12974,---,---,4354,31549,-57624,---,---,2061,---,---,---,1452,---,---,---,665,---,10866,330487
333,Machinery,2489,157,6104,3123,3915,1135,21914,304,102,1463,4465,35802,296,1625,26095,3693,87,1564,2862,21,8,1159,997,59,3619,1388,3145,161,112,176,526,5,238,39,199,81,146,2236,1466,180,57,1497,630,35,55,10,---,6,73,1075,38,963,2448,128,2279,2938,1244,416,501,205,131,21,89,67,433,6402,913,250,20,2966,1117,160163,6323,---,232744,---,---,6541,120979,-143189,---,---,1448,---,---,---,412,---,---,---,4816,---,230074,390237
334,Computer and electronic products,46,1,48,36,304,82,5770,750,431,1473,4797,7579,35332,3350,14446,14834,806,1738,3275,270,11,638,629,258,3760,1639,10656,316,198,245,2644,2,77,3,102,1,14,98,148,2126,547,15097,3862,371,491,15,444,0,217,94,1181,5854,5755,5288,2507,737,734,5351,576,236,241,9,62,151,72,5248,13128,3964,0,1191,1598,193956,80469,---,174644,---,302,1564,104333,-297795,---,---,27077,---,---,---,7200,---,---,---,13818,---,111613,305569
335,"Electrical equipment, appliances, and components",457,112,109,36,222,14,25319,214,56,1733,2386,11709,2720,8914,5503,1963,78,725,978,27,1,380,53,65,808,618,458,86,32,16,223,3,135,38,45,64,4,26,250,1,---,4110,331,80,39,6,---,2,372,384,2,1562,4369,75,1829,477,247,28,365,375,301,23,183,355,404,1952,820,2595,46,1574,2004,91491,39190,---,26668,---,5065,1885,30893,-79271,---,---,848,---,---,---,909,---,---,---,836,---,27022,118514
3361MV,"Motor vehicles, bodies and trailers, and parts",604,82,716,883,478,28,2267,1115,336,714,1211,14533,921,641,150932,2719,363,618,4128,56,0,1068,125,123,1261,427,5204,7563,827,343,2277,---,38,---,3318,109,2,123,2138,614,45,982,126,29,10,---,---,---,---,1174,---,27,2197,416,4558,941,235,296,472,74,1425,20,46,99,350,16259,3827,103,2728,4103,1095,250541,186249,---,195892,---,---,18176,99623,-266095,---,---,1603,---,---,---,957,---,---,---,15577,---,251981,502522
