"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"
"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"

,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
111CA,Farms,35331,790,---,12,6,---,1365,---,---,---,---,---,---,---,---,---,---,447,141683,2818,---,---,---,---,8848,---,672,402,672,135,241,---,---,---,---,---,---,32,---,---,---,---,---,0,---,---,---,0,2,---,2,1,427,17,836,---,93,---,---,---,---,---,186,22,871,23,6,-558,---,2369,---,197752,44007,---,---,---,---,9403,22233,-15775,---,---,---,---,---,---,---,---,---,---,---,---,59868,257620
113FF,"Forestry, fishing, and related activities",13958,8952,---,99,---,---,---,15058,0,---,---,---,---,---,---,---,63,292,5886,---,80,2826,38,---,220,1263,---,---,522,---,1,---,---,---,---,---,---,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,92,6,0,---,53,---,---,---,---,---,150,252,2074,61,---,48,32,2460,---,54488,5910,---,---,---,---,-250,4307,-12129,---,---,---,---,---,---,---,---,---,---,---,---,-2161,52328
211,Oil and gas extraction,---,---,25854,29,37,66682,---,9,1,22,3,---,---,---,2,---,---,---,6,---,---,13,2,198856,10190,14,40,10,11,7,36,---,---,---,---,---,306,---,4,5,2,7,0,---,---,---,---,---,1129,---,---,1,22,73,2,8,80,23,35,32,8,6,25,36,116,71,---,4192,921,---,13695,322622,---,---,---,---,---,665,2571,-164737,---,---,---,---,---,---,---,---,---,---,---,---,-161502,161120
212,"Mining, except oil and gas",1313,1,38,5552,38,5492,10157,12,8086,9698,374,57,74,109,116,54,19,140,1977,339,---,1826,---,225,4710,265,19,---,---,---,6,---,50,0,3,0,---,0,1,158,201,140,7,---,---,---,---,3,---,---,---,---,403,25,130,22,79,---,14,18,3,56,239,50,288,245,---,1422,---,1192,2578,58021,749,---,30,---,---,514,5384,-4261,---,---,---,---,---,---,---,---,---,---,---,---,2415,60437
213,Support activities for mining,---,---,3348,1263,628,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,24,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5265,---,47294,418,---,---,0,1139,-467,---,---,---,---,---,---,---,---,---,---,---,---,48384,53649
22,Utilities,3984,170,1463,1996,63,11110,4984,1292,3662,7882,2854,1525,2764,876,3086,945,564,862,8741,1910,775,4767,723,244,8811,3362,5514,1757,4485,3248,8466,99,77,2025,761,70,1501,5354,2062,381,308,2330,103,1469,333,334,1031,3,50067,1978,263,227,1332,4484,1548,190,3564,1222,1909,956,264,256,955,3325,12016,2493,1865,932,879,17335,1166,230351,195218,---,---,---,---,---,3318,-1413,---,---,---,---,---,---,---,---,---,---,---,---,197123,427474
23,Construction,1153,73,2862,1236,1020,3467,239,322,386,1057,624,468,731,177,520,174,204,199,992,241,81,481,265,305,1306,613,750,283,292,339,1176,61,811,81,177,54,1451,365,162,79,88,3236,10,3636,593,265,102,43958,39380,124,82,24,432,286,169,12,239,294,196,169,110,45,193,457,1008,2074,3648,1295,180,15221,24339,167142,---,253462,---,---,571421,---,81,---,---,6943,---,---,---,11090,---,---,---,213262,---,---,1056260,1223402
321,Wood products,260,17,---,22,63,---,47760,25007,240,205,127,953,469,329,2730,297,7983,1174,137,108,0,4191,1,---,238,1859,1398,167,344,91,619,---,1015,---,65,---,16,69,32,493,599,1130,118,116,5,---,---,14,5847,167,15,12,484,3,429,14,32,324,188,5,1068,7,174,301,507,401,17,38,0,2684,132,113309,4104,398,---,---,5590,1160,3760,-24187,---,---,---,---,---,---,37,---,---,---,---,---,-9138,104170
327,Nonmetallic mineral products,7,33,400,152,244,6,52383,680,13680,1471,926,1171,553,1016,5903,220,354,816,3492,89,---,264,1,112,971,1485,361,173,57,167,434,---,12,---,7,---,2,37,25,15,5,1607,82,42,18,21,---,17,190,155,7,73,2163,179,705,111,77,1593,618,107,94,14,90,60,1106,733,24,444,---,1013,1064,100126,12730,---,---,---,---,1178,5703,-19126,---,---,---,---,---,---,---,---,---,---,---,---,485,100611
331,Primary metals,173,---,2352,404,258,0,4093,191,1168,45647,54990,30930,6324,12552,35933,7027,3399,4994,2044,62,---,636,37,1,31,1349,972,7,---,0,277,---,854,---,---,---,---,105,---,115,111,227,15,---,---,---,---,0,664,20,---,23,592,19,194,169,64,175,109,12,91,17,162,13,63,329,67,174,---,139,202,220580,1140,---,---,---,---,3181,15200,-57786,---,---,---,---,---,---,---,---,---,---,---,---,-38265,182316
332,Fabricated metal products,1008,224,2218,663,406,1238,56869,2792,1513,3336,23184,18797,11798,7778,19798,8335,4522,3589,13015,684,73,4304,967,48,6438,5846,1454,304,129,78,1443,121,199,2581,744,158,620,580,194,2945,29,7814,170,75,48,---,5,1,1114,486,13,848,3805,476,1205,1273,198,295,451,20,597,26,576,446,1225,2486,3760,1158,497,3036,1725,244850,12008,---,8150,---,---,2512,16746,-36166,---,---,1221,---,---,---,862,---,---,---,724,---,6057,250908
333,Machinery,1205,434,3560,2699,2621,139,20991,299,81,1189,2954,22849,506,1481,22611,3179,103,814,1701,26,4,657,980,10,2212,1047,1260,209,85,126,326,2,19,6,109,23,92,132,422,529,502,756,94,21,35,58,---,8,106,389,39,762,1596,135,801,1619,776,277,228,134,50,20,77,35,306,3507,796,444,8,1945,544,113765,7522,---,146143,---,---,3547,72283,-90974,---,---,888,---,---,---,510,---,---,---,5826,---,145746,259511
334,Computer and electronic products,165,2,32,35,65,22,5340,1265,649,1263,4375,5952,88791,3537,15505,8048,1211,2244,3989,694,41,863,995,26,3278,1808,5287,593,253,277,1825,2,42,1,118,1,46,127,46,1980,1942,10093,480,655,517,18,213,0,182,100,1110,3200,5482,2444,2416,287,736,2443,211,129,171,13,89,147,92,3605,9423,1486,0,1150,875,210504,70825,---,149102,---,258,5575,105994,-226253,---,---,23226,---,---,---,7796,---,---,---,13316,---,149838,360343
335,"Electrical equipment, appliances, and components",101,286,47,17,102,5,23569,262,59,1061,2057,7101,4893,8315,3996,1052,69,538,725,50,7,268,58,6,499,621,278,140,55,76,315,1,121,19,40,33,2,13,57,1,---,2549,40,171,103,54,---,1,228,148,2,704,2419,58,1038,258,252,25,226,144,123,10,121,228,319,1798,487,1562,17,1583,1315,72896,31592,---,17550,---,3784,1471,19572,-49993,---,---,359,---,---,---,999,---,---,---,947,---,26282,99177
3361MV,"Motor vehicles, bodies and trailers, and parts",566,190,389,660,252,9,1240,1539,413,433,911,8557,1846,592,146701,3238,409,587,3326,120,2,790,143,11,795,394,2951,5960,717,129,2503,---,22,---,4667,285,1,49,622,2474,57,770,4,27,10,---,---,---,---,536,---,26,1424,278,2657,783,129,291,265,58,764,52,47,78,375,12028,2513,63,1497,4294,421,223935,215331,---,170026,---,---,6902,66423,-210582,---,---,3697,---,---,---,823,---,---,---,15693,---,268312,492247
3364OT,Other transportation equipment,---,12,---,3,---,---,32,34,---,---,59,810,---,---,375,29332,---,---,---,---,---,---,---,---,---,---,22,11,---,---,---,1050,448,986,6,19,---,583,---,---,---,2,---,---,---,---,---,---,---,---,---,---,162,7,32,27,---,---,---,---,41,---,15,---,---,5,17625,716,3,0,16,52436,22567,---,33872,---,---,-1507,51961,-30982,---,---,19515,---,---,---,4684,---,---,---,864,---,100973,153409
337,Furniture and related products,8,---,---,---,---,---,13555,556,0,---,---,349,231,1,21,180,3141,165,---,---,---,0,---,---,---,266,176,118,---,3,392,---,---,2,---,---,---,2,---,0,---,125,31,---,---,---,---,2699,34,---,23,3,78,15,1,---,---,346,39,1,34,99,165,3,162,111,---,---,271,6,1456,24868,42613,---,27493,---,414,1392,2421,-25248,---,---,2,---,---,---,42,---,---,---,3103,---,52232,77101
339,Miscellaneous manufacturing,80,4,11,19,11,---,891,19,134,31,35,1422,7,569,2210,77,11,6900,20,34,345,0,10,0,476,121,950,107,82,6,749,0,1,---,5,20,6,299,46,15,5,110,8,232,101,10,---,0,286,25,33,19,1046,14,1238,402,326,13736,12054,705,1354,89,353,38,219,1852,140,377,---,4190,12,54698,82041,---,32312,---,---,2691,19679,-64388,---,---,41,---,---,---,108,---,---,---,705,---,73190,127887
311FT,Food and beverage and tobacco products,17520,665,---,---,---,---,---,11,450,5,---,---,---,---,---,---,---,9,124278,16,737,275,291,32,3926,125,495,3,2472,677,1144,275,0,159,5,---,---,30,---,175,16,---,1,---,---,---,---,---,---,---,---,---,683,54,0,---,5421,20,4261,5184,5216,1678,4159,4261,33432,824,3082,-5,754,38925,---,261743,386089,---,---,---,---,1976,29431,-46207,---,---,---,---,---,---,---,---,---,---,---,---,371290,633032
313TT,Textile mills and textile product mills,186,103,---,1,---,---,1374,370,132,---,1,327,1,0,3118,746,2519,2302,262,14407,5392,1852,209,4,2,2049,604,48,101,989,1693,---,---,229,7,---,1,37,2,18,153,8,1,---,---,---,---,0,39,161,---,---,288,5,107,62,46,70,365,2035,586,2,626,1566,190,1139,630,342,0,2144,4,49653,24110,---,3240,---,740,930,9382,-20360,---,---,---,---,---,---,24,---,---,---,18,---,18085,67738
315AL,Apparel and leather and allied products,17,---,---,---,---,0,---,---,0,---,---,---,---,---,1541,---,---,139,13,648,4936,---,2416,2,---,0,517,56,3,668,245,---,---,---,---,---,---,---,---,42,8,1254,1,---,---,---,---,---,---,57,---,---,27,1,207,118,71,65,31,---,1877,33,52,26,337,786,140,17,53,2024,11,18440,122512,---,---,---,---,1660,5231,-110191,---,---,---,---,---,---,---,---,---,---,---,---,19212,37652
322,Paper products,224,2,22,97,33,3,3198,886,1546,851,1073,1303,1161,1160,3691,413,1464,1877,14721,455,38,39812,14927,22,4306,4042,3133,98,1122,302,1576,13,37,15,100,305,102,2145,60,5684,184,292,28,869,159,482,2,0,371,592,322,228,1591,438,1920,208,163,1402,588,373,271,54,124,1420,1618,721,113,2026,24,10289,13,138902,18831,---,---,---,---,785,14017,-21915,---,---,---,---,---,---,---,---,---,---,---,---,11718,150620
323,Printing and related support activities,38,---,4,2,---,26,49,3,---,---,14,5,---,3,3,---,---,---,70,---,135,---,2180,0,206,---,5644,200,257,175,3406,17,38,---,261,50,14,308,7,10939,841,571,397,864,2546,2695,---,---,58,644,1013,390,6489,1210,2569,19,1018,2306,1504,159,1339,1066,241,505,672,1650,1001,3038,18,12004,196,71080,2571,---,---,---,---,676,1484,-1893,---,---,---,---,---,---,---,---,---,---,---,---,2838,73918
324,Petroleum and coal products,6606,753,2312,2490,1046,11430,34325,1096,979,3173,1128,1074,508,719,597,185,326,1636,2817,465,118,1765,1149,4050,17830,969,1888,459,349,115,1007,14996,3056,2538,10434,953,17,4951,80,253,106,471,81,4343,1259,28,303,1,1678,1118,98,492,1179,953,5899,2659,400,636,1126,826,279,158,712,651,2034,2363,11224,569,1103,58952,7309,249655,125815,---,---,---,---,-89,16814,-62452,---,---,---,---,---,---,---,---,---,---,---,---,80088,329743
