"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"
"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"

,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
111CA,Farms,121411,185,---,32,17,---,2451,---,---,---,---,---,---,---,---,---,---,120,289249,1770,---,---,---,---,13801,---,948,422,934,196,215,---,---,---,---,---,---,38,---,---,---,---,---,0,---,---,---,0,2,---,1,0,799,41,1377,---,188,---,---,---,---,---,409,69,6097,11,16,-119,---,5121,---,445798,118832,---,---,---,---,3045,51408,-57600,---,---,---,---,---,---,---,---,---,---,---,---,115684,561482
113FF,"Forestry, fishing, and related activities",31141,7721,---,117,---,---,---,15393,0,---,---,---,---,---,---,---,84,214,6652,---,81,3758,21,---,299,1453,---,---,425,---,---,---,---,---,---,---,---,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,176,26,4,---,29,---,---,---,---,---,302,315,5650,83,---,44,12,5844,---,79848,9319,---,---,---,---,1928,5474,-19023,---,---,---,---,---,---,---,---,---,---,---,---,-2302,77546
211,Oil and gas extraction,---,---,23411,12,53,23783,---,27,6,8,6,---,---,---,1,---,---,---,19,---,---,11,3,365934,9300,19,62,41,8,11,98,---,---,---,---,---,44,---,574,328,30,37,183,---,---,---,---,---,154,---,---,5,73,17,17,70,1128,422,8,20,34,22,213,35,19,143,---,---,791,---,15895,443076,---,---,---,---,---,4514,129048,-174104,---,---,---,---,---,---,---,---,---,---,---,---,-40543,402533
212,"Mining, except oil and gas",1349,0,67,9320,116,6125,21967,7,11681,13526,459,94,4,79,76,46,11,135,969,19,---,1033,---,2621,4889,89,22,---,---,---,3,---,94,0,5,0,---,1,1,15,17,194,1460,---,---,---,---,9,---,---,---,---,1176,25,1070,55,501,---,19,40,202,484,927,154,777,1272,---,2975,---,2189,5892,94259,174,---,134,---,---,1654,22046,-6451,---,---,---,---,---,---,---,---,---,---,---,---,17557,111815
213,Support activities for mining,---,---,24702,2469,2569,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,21,4,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,29766,---,101974,3335,---,---,25,2277,-1987,---,---,---,---,---,---,---,---,---,---,---,---,105624,135390
22,Utilities,10903,89,9845,4419,436,36465,15143,2458,5858,6629,5817,2729,1667,1552,3747,3007,753,844,12279,712,28,7192,1321,6631,15823,5751,18232,6746,10002,7812,20417,2422,80,184,6818,633,2340,1430,3203,1061,668,9488,6838,4470,1917,928,2599,331,39315,2387,764,1327,8000,5506,4615,2505,6154,6277,9542,4492,2115,1665,4560,7261,28134,10033,5895,1321,3752,39918,6288,472546,354225,---,---,---,---,---,4859,-3477,---,---,---,---,---,---,---,---,---,---,---,---,355608,828153
23,Construction,2283,41,266,4143,1934,4439,583,639,1443,1569,1853,1052,580,392,1167,605,199,354,3401,116,6,1641,399,7467,2760,1171,5911,2527,1325,2444,5749,332,2949,55,732,629,1444,1208,987,621,147,3390,2360,7831,2334,1283,141,86779,50383,1866,260,138,3608,1062,1355,293,2117,1384,3659,966,1259,431,1071,3311,5182,6057,12795,850,806,47293,75361,393187,---,780667,---,---,906534,---,118,---,---,14681,---,---,---,19393,---,---,---,416482,---,---,2137874,2531062
321,Wood products,846,74,---,336,209,8,72382,34576,287,535,215,948,377,848,3551,208,7355,1253,411,53,0,4926,1,---,264,2150,9793,279,814,195,1712,---,3607,---,268,---,3,73,112,44,98,819,1660,182,6,---,---,52,8099,952,11,26,820,5,1157,34,31,625,638,5,1006,13,341,1131,1494,499,27,99,2,4198,485,173227,4136,490,---,---,10465,-270,5093,-24528,---,---,---,---,---,---,94,---,---,---,---,---,-4520,168707
327,Nonmetallic mineral products,25,82,1913,542,785,27,98980,910,19636,2815,1348,1391,228,1650,7257,239,256,686,3361,25,---,418,1,1292,1496,1825,102,288,38,340,712,---,15,---,119,0,0,12,47,2,2,2012,698,23,32,50,---,142,47,1094,0,195,4500,29,940,292,77,2550,2738,158,766,12,192,107,2916,1869,58,697,---,2021,4127,177208,15807,---,---,---,---,-387,8514,-32999,---,---,---,---,---,---,---,---,---,---,---,---,-9065,168144
331,Primary metals,101,---,9944,702,296,3,8097,302,2419,88243,95834,42706,3875,26591,54580,5609,3759,5430,2007,120,---,1367,20,11,36,1962,816,10,---,0,750,---,706,---,---,---,---,104,---,11,10,389,1198,---,---,---,---,2,3440,184,---,0,1460,41,871,322,270,236,39,23,477,41,621,45,234,998,431,1198,---,138,954,370031,1552,---,---,---,---,759,34860,-100778,---,---,---,---,---,---,---,---,---,---,---,---,-63607,306425
332,Fabricated metal products,1671,173,11485,1208,678,761,135579,3980,2723,6490,44621,24635,6283,14789,27452,11043,4644,4058,19153,466,50,6146,1009,957,8740,8111,3808,528,215,163,1777,378,361,1290,1925,560,1839,307,985,727,47,10001,2852,345,223,---,27,41,927,2893,24,2996,6130,602,2830,3680,448,432,2124,34,3263,75,870,1853,4545,5544,7602,1824,262,4963,8827,438049,32064,---,14743,---,---,1339,37464,-89366,---,---,162,---,---,---,103,---,---,---,102,---,-3390,434659
333,Machinery,2475,31,12022,4258,3371,523,46504,516,200,1885,5280,36494,309,2549,37343,2918,153,698,5766,31,1,1060,1457,65,5298,2701,2968,309,143,114,754,12,59,32,490,67,46,2946,1543,61,33,969,1485,6,47,514,---,59,186,1427,18,2125,2649,459,5043,4519,1777,1256,921,186,294,30,375,75,989,7344,2104,522,39,5856,3826,228583,17038,---,285825,---,---,2092,112997,-233680,---,---,2455,---,---,---,85,---,---,---,10833,---,197645,426229
334,Computer and electronic products,29,1,88,23,91,76,8467,1402,815,1978,5984,6907,34781,4636,22471,15520,990,1912,2860,335,31,1091,1088,276,4796,2434,49039,1423,384,410,2092,7,41,0,227,2,4,52,142,2428,630,21668,9337,919,1486,28,1417,1,312,276,1386,6311,10506,10977,5992,805,1136,8887,1099,181,633,26,206,315,219,4082,16036,6584,0,2451,2192,291434,112504,---,202644,---,109,-4116,98635,-394149,---,---,17602,---,---,---,1608,---,---,---,4232,---,39069,330503
335,"Electrical equipment, appliances, and components",4506,44,193,39,497,13,53196,396,137,1731,3451,17658,2076,13053,12725,1148,109,767,1658,44,1,567,96,105,1195,828,5699,499,108,313,398,3,206,31,150,156,3,43,162,6,---,3745,337,164,95,71,---,11,779,666,0,3023,5585,118,1953,1291,131,25,908,596,1201,43,958,670,828,4795,3619,5769,86,1715,4723,167914,83275,---,52896,---,8855,-953,35853,-167930,---,---,647,---,---,---,75,---,---,---,558,---,13277,181191
