"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"
"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"

,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
111CA,Farms,118557,131,---,25,12,---,2287,---,---,---,---,---,---,---,---,---,---,94,296679,861,---,---,---,---,10808,---,1008,307,800,173,149,---,---,---,---,---,---,43,---,---,---,---,---,0,---,---,---,0,1,---,0,0,943,36,1056,---,251,---,---,---,---,---,374,63,6052,10,56,19,---,5147,---,445941,123350,---,---,---,---,175,48146,-60585,---,---,---,---,---,---,---,---,---,---,---,---,111086,557027
113FF,"Forestry, fishing, and related activities",31647,7859,---,105,---,---,---,17773,1,---,---,---,---,---,---,---,100,247,6594,---,96,3716,27,---,368,1685,---,---,452,---,---,---,---,---,---,---,---,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,241,27,5,---,36,---,---,---,---,---,300,285,5893,80,---,19,12,6196,---,83760,9845,---,---,---,---,356,5427,-19722,---,---,---,---,---,---,---,---,---,---,---,---,-4094,79666
211,Oil and gas extraction,---,---,27889,18,65,17883,---,26,8,13,8,---,---,---,1,---,---,---,23,---,---,14,5,360092,13266,24,72,44,12,10,117,---,---,---,---,---,67,---,555,375,30,38,189,---,---,---,---,---,172,---,---,7,97,17,22,81,1520,649,14,28,37,32,232,40,27,179,---,---,677,---,15282,439956,---,---,---,---,---,-909,126156,-173829,---,---,---,---,---,---,---,---,---,---,---,---,-48582,391374
212,"Mining, except oil and gas",1374,0,59,9303,106,4971,23694,7,11800,12651,481,85,4,71,71,61,12,120,989,22,---,1018,---,1924,4603,91,20,---,---,---,3,---,91,0,6,0,---,1,2,17,15,164,1529,---,---,---,---,6,---,---,---,---,1351,26,1092,60,691,---,22,39,141,450,894,148,806,1413,---,2954,---,2214,5526,93197,180,---,316,---,---,-432,23247,-6209,---,---,---,---,---,---,---,---,---,---,---,---,17101,110298
213,Support activities for mining,---,---,24547,2335,2454,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,31,4,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,29371,---,96938,3314,---,---,-15,2129,-2485,---,---,---,---,---,---,---,---,---,---,---,---,99880,129251
22,Utilities,12109,61,8400,3724,357,33647,14763,2150,5399,6601,5448,2341,1278,1515,3374,2973,714,784,11575,737,229,6628,1210,2494,14190,5389,15680,6294,8884,5778,17209,2596,80,199,6664,842,2310,1412,3100,1234,636,9490,7643,5129,2209,823,3179,149,43660,2430,776,1346,7734,5089,4848,2493,7941,6756,10533,4786,2016,1871,4866,6427,28689,10635,6047,1253,2926,39495,6477,458724,370340,---,---,---,---,---,5053,-2489,---,---,---,---,---,---,---,---,---,---,---,---,372905,831629
23,Construction,2130,30,381,3874,1708,4965,620,496,1340,1577,1721,878,474,328,917,497,165,318,2883,106,4,1348,331,5369,2142,994,5562,2578,1321,2032,5189,445,2990,63,683,815,2718,1070,927,597,119,3261,2272,7530,2735,1319,218,85174,58125,1870,227,116,3399,1104,1221,253,2327,1158,3442,866,1007,417,969,3067,4426,7576,13203,838,628,48481,77058,396989,---,797005,---,---,965104,---,127,---,---,17092,---,---,---,20235,---,---,---,458026,---,---,2257589,2654577
321,Wood products,950,57,---,318,168,7,71445,34813,286,503,216,801,383,856,3261,197,7152,1142,428,55,1,4544,1,---,272,2128,9134,280,800,164,1646,---,3743,---,277,---,4,72,109,45,74,717,1694,143,6,---,---,34,8366,941,9,25,912,5,1173,35,69,607,637,5,874,12,309,991,1446,526,44,85,1,4925,473,171397,4205,502,---,---,12197,1264,5082,-25047,---,---,---,---,---,---,16,---,---,---,---,---,-1781,169616
327,Nonmetallic mineral products,26,82,1646,535,713,31,100623,961,20061,2938,1446,1269,217,1638,6363,243,271,673,3380,31,---,377,1,927,1466,1893,95,292,37,351,676,---,14,---,127,0,0,11,48,2,1,1732,756,23,39,54,---,108,52,1086,0,198,5033,26,946,282,92,2696,2713,142,680,12,176,84,2812,1933,117,651,---,2124,4253,178283,15955,---,---,---,---,992,8689,-34279,---,---,---,---,---,---,---,---,---,---,---,---,-8644,169640
331,Primary metals,90,---,8786,666,247,4,8254,320,2489,84826,98365,38355,3652,26763,52398,6601,3945,5043,2244,121,---,1365,22,12,33,1978,652,7,---,0,631,---,707,---,---,---,---,108,---,12,8,346,1212,---,---,---,---,1,3410,167,---,0,1728,39,785,318,353,218,41,20,397,33,514,37,240,871,617,1190,---,143,1024,362403,1623,---,---,---,---,-577,35139,-97601,---,---,---,---,---,---,---,---,---,---,---,---,-61416,300987
332,Fabricated metal products,1571,167,11071,1095,588,894,137114,4049,2752,6326,44735,22185,6544,15139,25628,12305,4714,3865,20104,482,43,5938,1007,527,8381,8147,3538,547,219,150,1860,325,346,1585,1969,684,1946,310,967,818,40,8757,3088,292,233,---,27,30,1080,2862,22,3029,7044,603,3093,3826,527,457,2157,34,2972,74,837,1739,4545,5837,8602,1775,196,5013,9626,439052,39136,---,14856,---,---,2183,38963,-95095,---,---,62,---,---,---,69,---,---,---,89,---,262,439314
333,Machinery,2710,25,11060,3993,2969,735,47792,568,191,1827,5463,33958,311,2613,34302,3090,163,490,5775,30,1,1152,1431,54,5365,2826,2601,311,137,97,754,13,61,43,505,76,57,3245,1427,64,27,883,1497,6,52,391,---,48,213,1476,20,2392,3071,419,5268,4658,2200,1416,1029,202,272,24,365,69,999,7625,2483,539,33,5972,3563,225498,17689,---,288924,---,---,1456,112902,-238285,---,---,1726,---,---,---,52,---,---,---,9241,---,193703,419201
