"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"
"The Use of Commodities by Industries, Before Redefinitions (Producers' Prices) - Summary"

,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,,F010,F02S,F02E,F02N,F02R,F030,F040,F050,F06C,F06S,F06E,F06N,F07C,F07S,F07E,F07N,F10C,F10S,F10E,F10N,,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in structures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Change in private inventories,Exports of goods and services,Imports of goods and services,Federal national defense: Consumption expenditures,Federal national defense: Gross investment in structures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national nondefense: Consumption expenditures,Federal national nondefense: Gross investment in structures,Federal national nondefense: Gross investment in equipment,Federal national nondefense: Gross investment in intellectual property products,State and local: Consumption expenditures,State and local: Gross investment in structures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,Total Final Uses (GDP),Total Commodity Output
111CA,Farms,48411,837,---,26,11,---,1175,---,---,---,---,---,---,---,---,---,---,373,217651,2660,---,---,---,---,20501,---,1805,291,1085,195,406,---,---,---,---,---,---,49,---,---,---,---,---,1,---,---,---,0,3,---,3,2,751,27,1227,---,175,---,---,---,---,---,292,29,1525,31,9,-308,---,2940,---,302186,59149,---,---,---,---,-2590,46274,-30629,---,---,---,---,---,---,---,---,---,---,---,---,72204,374390
113FF,"Forestry, fishing, and related activities",20810,6381,---,155,---,---,---,10269,1,---,---,---,---,---,---,---,121,467,7706,---,134,3863,56,---,572,3162,---,---,843,---,3,---,---,---,---,---,---,3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,191,11,2,---,82,---,---,---,---,---,174,419,3103,86,---,212,20,3269,---,62116,7846,---,---,---,---,-152,6587,-19245,---,---,---,---,---,---,---,---,---,---,---,---,-4964,57152
211,Oil and gas extraction,---,---,40625,22,19,34337,---,2,0,9,1,---,---,---,0,---,---,---,2,---,---,4,0,527977,7698,3,38,4,7,4,16,---,---,---,---,---,108,---,6,6,1,2,3,---,---,---,---,---,207,---,---,0,19,45,1,5,261,9,34,10,6,2,11,22,62,39,---,0,2590,---,20975,635191,---,---,---,---,---,-573,9980,-349395,---,---,---,---,---,---,---,---,---,---,---,---,-339989,295203
212,"Mining, except oil and gas",2200,2,191,7739,50,12734,9402,9,8251,15484,784,161,23,113,85,54,11,138,1893,176,---,1832,---,2125,7199,177,22,---,---,---,2,---,118,0,4,0,---,2,3,80,38,243,146,---,---,---,---,1,---,---,---,---,1009,54,409,75,355,---,46,27,9,219,569,96,469,905,---,3163,---,2006,6230,87133,205,---,445,---,---,161,27494,-7189,---,---,---,---,---,---,---,---,---,---,---,---,21115,108249
213,Support activities for mining,---,---,11828,2349,1175,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,36,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,15391,---,124683,2325,---,---,2,3336,-798,---,---,---,---,---,---,---,---,---,---,---,---,129548,144938
22,Utilities,4858,157,5522,3656,142,25766,4025,1673,3753,11467,4952,2818,2116,1359,4336,1545,612,1460,11026,1765,419,6195,1249,3987,14124,4829,16219,1845,8840,5865,13878,261,111,80,1429,161,1985,2181,11588,839,329,3149,843,2700,1315,848,2752,23,51274,2726,447,420,4125,8598,1948,460,7070,3213,7615,2216,1470,710,2723,5958,20259,6400,2784,1620,1373,18383,2414,355254,252353,---,---,---,---,---,3536,-2170,---,---,---,---,---,---,---,---,---,---,---,---,253719,608973
23,Construction,1473,52,2009,2465,1535,6601,228,217,454,1284,854,688,428,201,897,279,118,275,1524,127,62,715,294,5839,2027,591,2306,320,584,635,2034,90,1875,92,391,147,1264,1054,895,146,53,2436,99,3280,1646,1334,554,60335,41692,262,118,41,869,565,400,39,782,536,898,356,415,147,440,847,1774,4024,6178,1789,605,25358,41562,242508,---,268864,---,---,276803,---,93,---,---,13352,---,---,---,17228,---,---,---,269535,---,---,845876,1088383
321,Wood products,200,53,---,42,135,---,25658,13710,213,272,127,829,217,217,2901,257,4258,901,224,46,0,4075,2,---,234,900,2055,41,368,84,561,---,1215,---,53,---,20,61,97,124,89,700,645,72,5,---,---,4,4618,179,11,17,556,3,390,17,47,170,234,3,1267,4,99,324,506,219,21,72,2,2110,159,72691,5706,279,---,---,2487,420,4873,-11669,---,---,---,---,---,---,21,---,---,---,---,---,2116,74807
327,Nonmetallic mineral products,4,56,699,344,353,22,39178,448,9925,2830,1134,1760,305,1517,5847,238,231,851,4446,37,---,463,1,1226,1219,1174,364,89,46,170,472,---,9,---,19,---,3,40,76,7,2,1876,529,37,13,20,---,6,86,257,7,75,3133,74,940,95,76,1407,1536,158,241,11,83,60,1262,901,40,465,---,1273,1983,92251,12051,---,---,---,---,532,8730,-19622,---,---,---,---,---,---,---,---,---,---,---,---,1690,93941
331,Primary metals,90,---,5305,705,370,1,3993,207,1055,90535,72711,42798,4597,17483,40019,9158,2495,6063,1932,264,---,688,26,10,44,1636,1688,6,---,0,594,---,1207,---,---,---,---,314,---,36,12,289,132,---,---,---,---,0,1273,52,---,42,1738,34,433,331,172,196,130,17,402,28,285,17,80,834,76,412,---,293,438,313746,445,---,---,---,---,5546,35895,-96428,---,---,---,---,---,---,---,---,---,---,---,---,-54542,259205
332,Fabricated metal products,1496,204,5671,1189,600,545,57681,2033,1706,6273,38587,28081,8145,9281,23133,11001,3537,4684,16516,499,49,6355,1001,757,10005,6417,2392,277,149,128,1332,214,341,2287,888,96,808,576,564,1498,17,10813,1069,132,151,---,19,4,960,817,23,1676,5845,758,2097,2126,375,368,640,23,1570,27,726,689,1803,3973,4795,2404,897,3444,3630,308869,14713,---,12241,---,---,4117,29705,-50929,---,---,2149,---,---,---,1093,---,---,---,719,---,13809,322678
333,Machinery,2695,327,6482,3100,2731,501,21113,244,89,1411,3884,32151,333,1357,24899,3007,63,1537,2613,19,8,921,1009,49,3388,1208,3172,143,126,199,527,6,189,34,127,58,171,1487,1327,165,49,1236,361,28,70,17,---,3,75,927,45,856,2202,116,2083,2480,1662,326,488,224,144,45,86,52,406,5797,1085,229,21,2786,1076,147845,6108,---,200983,---,---,7123,117001,-129615,---,---,1213,---,---,---,519,---,---,---,3872,---,207203,355048
334,Computer and electronic products,82,1,59,39,191,46,6186,696,482,1840,4935,7391,43833,3113,14444,11363,705,1985,3475,332,20,630,697,290,3842,1578,11991,276,209,302,2642,3,123,2,114,1,29,77,125,2052,501,18510,2677,429,468,16,584,0,173,92,1171,5519,5794,5474,2441,573,908,5119,404,176,273,10,63,154,80,5333,13308,3752,0,1014,1566,202783,81368,---,168261,---,306,4768,109605,-289239,---,---,28203,---,---,---,4775,---,---,---,8804,---,116850,319633
335,"Electrical equipment, appliances, and components",284,162,82,25,101,8,23324,186,51,1801,2202,10452,3117,8804,5299,1424,54,759,840,27,2,339,49,74,759,526,492,45,22,18,208,2,137,38,45,54,5,23,190,1,---,3969,251,78,42,20,---,1,189,275,1,1531,4588,89,1795,387,328,26,278,273,306,16,121,277,441,1857,895,2487,55,1667,2047,86320,38567,---,24222,---,4640,1560,29287,-72512,---,---,652,---,---,---,1354,---,---,---,885,---,28654,114974
3361MV,"Motor vehicles, bodies and trailers, and parts",529,95,760,804,296,14,2052,891,309,657,1061,10417,1099,616,145199,2428,253,576,3387,55,1,887,114,104,985,341,4278,6193,664,251,1863,---,29,---,3091,112,2,77,1797,638,34,763,41,22,11,---,---,---,---,557,---,24,1675,325,3568,945,645,225,420,53,1284,324,32,67,304,13723,2846,113,1998,3144,838,226907,170040,---,171181,---,---,5959,90579,-226172,---,---,4962,---,---,---,746,---,---,---,16661,---,233955,460862
3364OT,Other transportation equipment,---,117,---,9,---,---,14,48,---,---,63,639,---,---,414,46835,---,---,---,---,---,---,---,---,---,---,5,35,---,---,---,1338,1560,1455,0,9,---,910,---,---,---,3,---,---,---,---,---,---,---,---,---,---,261,5,33,32,---,---,---,---,70,---,1,---,---,175,25733,1556,3,0,45,81368,17071,---,46238,---,---,5216,83149,-40934,---,---,37058,---,---,---,7784,---,---,---,2111,---,157693,239062
337,Furniture and related products,0,---,---,---,---,---,8754,313,0,---,---,370,134,1,30,167,2814,188,---,---,---,0,---,---,---,251,476,126,---,0,846,---,---,2,---,---,---,6,---,0,---,183,277,---,---,---,---,2124,58,---,31,4,262,13,2,---,---,346,74,1,130,155,229,4,225,147,---,---,1495,7,652,20896,36976,---,20577,---,402,-103,3459,-27416,---,---,2,---,---,---,59,---,---,---,2507,---,36464,57360
339,Miscellaneous manufacturing,130,2,20,22,11,---,638,13,128,46,47,1835,2,450,1626,55,4,7140,24,12,239,0,4,1,575,75,1192,31,56,6,576,0,1,---,3,8,4,146,105,5,1,107,63,168,98,10,---,0,110,47,59,32,1161,11,1236,406,424,14783,17820,749,1883,112,260,28,230,1587,140,438,---,4604,34,61834,85578,---,42581,---,---,1441,31241,-78785,---,---,70,---,---,---,88,---,---,---,487,---,82701,144535
311FT,Food and beverage and tobacco products,32759,571,---,---,---,---,---,25,378,11,---,---,---,---,---,---,---,11,177259,14,822,428,585,600,7972,155,1907,6,3802,1172,1956,542,1,311,15,---,---,37,---,91,11,---,17,---,---,---,---,---,---,---,---,---,2994,113,0,---,8737,25,6675,5326,8630,493,4694,6426,51772,1174,4212,181,895,47859,---,381668,509520,---,---,---,---,1230,60389,-72791,---,---,---,---,---,---,---,---,---,---,---,---,498348,880016
313TT,Textile mills and textile product mills,185,119,---,2,---,---,1098,278,195,---,2,467,0,0,2575,727,2192,1949,105,8294,2069,3051,212,26,2,2506,1302,37,136,1883,1665,---,---,272,11,---,5,74,7,5,80,10,5,---,---,---,---,0,41,192,---,---,222,6,95,74,21,37,338,1507,658,0,376,1220,200,1115,849,379,2,1887,10,40774,21646,---,943,---,251,161,11510,-26466,---,---,---,---,---,---,30,---,---,---,12,---,8087,48860
315AL,Apparel and leather and allied products,10,---,---,---,---,0,---,---,0,---,---,---,---,---,1711,---,---,105,13,379,2882,---,2216,0,---,1,922,167,16,342,576,---,---,---,---,---,---,---,---,75,9,1437,0,---,---,---,---,---,---,62,---,---,55,2,281,117,80,289,129,---,2186,43,44,20,240,987,103,27,53,2532,38,18148,131526,---,---,---,---,-279,4709,-130899,---,---,---,---,---,---,---,---,---,---,---,---,5058,23206
322,Paper products,325,0,60,152,44,15,1384,602,1591,1838,1631,1957,792,1265,4035,427,984,2280,20587,383,19,45076,10841,269,5776,4377,5416,63,1230,340,1505,22,150,14,123,1059,175,2888,252,2882,97,482,162,1360,249,353,6,0,507,447,414,401,2950,1283,3256,252,448,1253,924,414,664,62,140,1696,2519,892,189,2375,44,11450,31,158149,21820,---,---,---,---,337,22058,-22411,---,---,---,---,---,---,---,---,---,---,---,---,21803,179952
323,Printing and related support activities,29,---,10,4,---,7,22,4,---,---,26,8,---,3,5,---,---,---,65,---,18,---,1536,2,306,---,9325,76,229,182,2611,6,25,---,182,28,20,230,17,6761,507,624,2880,889,1836,1382,---,---,43,573,961,290,4408,1066,2538,17,1121,1816,2025,173,1637,676,192,558,586,1571,944,2499,19,9212,337,63116,5760,---,---,---,---,163,2139,-2380,---,---,---,---,---,---,---,---,---,---,---,---,5682,68798
324,Petroleum and coal products,9993,1166,8899,7752,2869,30749,50450,1021,1083,4396,1250,1097,353,872,884,236,346,1920,4329,279,63,2320,783,33063,19329,954,7590,634,864,235,2247,39883,10057,7192,37820,2730,138,11309,382,351,93,709,446,9215,3061,48,1695,2,3873,3201,100,1006,2830,2137,4094,1851,1662,1370,4069,1369,923,239,1134,1390,4226,5077,28681,2072,4136,114051,17497,530143,290624,---,---,---,---,-36,107071,-126150,---,---,---,---,---,---,---,---,---,---,---,---,271508,801652
325,Chemical products,24944,3014,7440,2670,1239,1299,7995,2146,4329,2505,6213,3365,2720,3024,10589,1110,1567,7988,6619,12492,173,10123,4605,25848,233612,59829,2956,60,49,40,919,1,237,11,194,6,5,78,314,756,115,969,231,50,48,17,---,30,8610,83,102,169,13388,1692,6209,1748,651,25392,20455,2938,450,352,670,49,418,3542,2931,2608,143,26990,2788,576920,238038,---,2053,---,---,1613,159157,-209301,---,---,---,---,---,---,---,---,---,---,---,---,191559,768479
326,Plastics and rubber products,1191,125,65,1501,433,9,17822,639,1038,779,2014,9587,3208,2233,18902,3256,2694,4859,15590,348,56,2844,3175,389,10143,15775,9557,810,1462,294,2922,495,6,2,692,8,166,2102,359,542,69,4801,201,266,92,340,1,1,143,1066,133,756,4856,196,1523,350,584,5919,2169,919,1533,29,178,102,4097,3928,2165,1137,14,7852,2224,185733,30953,---,376,---,91,1044,24399,-42423,---,---,---,---,---,---,13,---,---,---,---,---,14453,200186
42,Wholesale trade,26987,2606,5306,3843,1954,5953,46933,5461,3993,22310,14565,22518,12208,7601,43013,8643,3707,8263,68082,2864,1987,11381,3932,21428,42847,11986,43235,2181,2033,1596,10492,3313,2554,1887,9419,758,327,3991,1064,7573,203,12351,1460,2375,1124,311,690,280,2821,10608,786,2160,10626,4000,6120,1866,3296,14896,12500,2751,4373,428,2633,2748,15553,8901,10043,3719,1808,29111,6166,677503,434832,36,159675,19176,1479,5335,174607,31891,---,---,10495,527,---,---,3030,792,---,---,5449,1329,848653,1526156
441,Motor vehicle and parts dealers,7,3,95,123,62,6,1454,113,70,69,189,1186,103,4,2317,313,51,150,747,13,0,179,25,2,269,77,165,1458,173,60,421,0,4,0,336,2,0,4,58,137,8,70,2,5,3,1,---,68,213,162,1,5,234,---,624,20,0,---,0,0,0,1,4,10,49,3037,0,0,0,0,1,14964,107145,---,9984,---,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,117130,132094
445,Food and beverage stores,26,0,1,0,---,41,161,0,1,0,1,15,2,2,8,0,4,9,12,0,0,1,16,2,44,11,8,9,40,9,41,0,3,0,205,14,0,17,0,1,0,0,1,2,3,1,---,44,8,2,1,1,5,---,46,0,6,4,6,1,1,7,29,26,837,29,0,0,0,22,---,1789,183261,---,137,1,6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,183405,185194
452,General merchandise stores,78,1,10,9,3,108,1291,9,8,5,17,144,18,14,173,17,26,57,104,3,0,14,51,7,149,65,37,123,38,9,67,0,11,1,624,42,1,50,3,11,1,5,4,6,9,2,---,246,93,30,5,2,29,---,176,1,3,11,6,1,3,3,9,27,213,332,0,4,0,21,0,4639,196739,---,1608,288,152,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,198788,203427
4A0,Other retail,757,11,60,149,5,1381,53385,113,7,22,81,899,133,134,628,29,235,498,694,38,0,57,888,152,2429,608,667,679,317,147,940,3,104,303,6778,420,26,671,8,84,10,18,73,109,165,30,---,2370,293,91,69,33,293,---,706,9,47,244,110,47,63,220,312,485,3626,1743,2,82,1,432,0,86222,587082,---,21856,3625,4186,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,616749,702972
481,Air transportation,138,3,12,25,218,940,490,112,229,315,555,445,148,69,440,221,200,512,692,60,30,124,230,294,317,348,5434,52,37,72,123,147,27,83,1947,18,5,1520,70,762,237,1180,1310,4289,5412,890,678,1,5071,1488,1738,3145,5649,369,5046,566,720,3094,321,495,544,132,172,281,1183,783,8121,4247,428,3664,78,78795,112388,---,325,27,3,11,42632,-42333,---,---,37,1,---,---,8,1,---,---,14,2,113114,191909
482,Rail transportation,1771,89,426,1830,101,4854,1430,512,2071,4376,865,536,75,267,1009,207,174,258,5866,120,5,2330,139,1432,4783,1253,294,24,105,35,74,84,138,17,3980,15,4,302,43,54,3,361,16,63,23,55,4,4,115,36,49,33,666,41,323,42,78,430,170,68,99,6,51,101,533,146,194,1252,244,1670,2349,51173,7017,---,2181,---,26,131,13628,277,---,---,99,---,---,---,8,---,---,---,152,---,23518,74691
483,Water transportation,529,31,506,212,49,309,896,8,267,586,115,60,20,65,65,23,12,76,1041,43,0,133,1,101,951,172,66,11,18,5,21,22,16,4,24,2,5,8,1,2,1,28,3,6,2,0,1,1,40,10,0,7,263,25,108,24,74,176,78,18,23,5,10,9,44,81,2183,194,654,531,170,11250,16528,---,12,0,0,4,7220,13121,---,---,4,0,---,---,1,0,---,---,0,---,36889,48139
484,Truck transportation,5355,555,908,757,288,2184,12043,1375,2096,6586,3472,3779,1422,1265,5817,1406,900,1301,23376,830,278,3080,840,7034,7224,2226,3691,984,1640,1810,4192,911,315,236,6240,114,48,3146,251,824,108,1241,401,260,159,100,30,92,531,293,154,287,2322,915,1130,275,510,1147,1212,373,864,139,889,426,1934,1637,2164,728,565,5414,962,148063,70624,12,17938,487,581,812,29386,2899,---,---,782,13,---,---,192,20,---,---,811,34,124590,272653
