Model,N,MSPE,Pct vs Baseline,DM stat,DM p
Baseline,77,7.760306520753381e-05,,,
Homogeneous (H),77,8.166841543060823e-05,5.2386464532070365,-2.5213399383226265,0.011690884969065563
Heterogeneous HHI (3A),77,9.851031215257749e-05,26.941264354869798,-1.4092725630877163,0.15875458847687662
Kitchen Sink (3B),77,0.00011156300273937852,43.761077530927004,-1.5792807248210903,0.11427168101708474
